GEBIET_NAME,INDIKATOR_NAME,INDIKATOR_JAHR,INDIKATOR_VALUE
Hausen a.A.,Scheidungen [Anz.],2006,11.0
Hausen a.A.,Scheidungen [Anz.],2007,10.0
Hausen a.A.,Scheidungen [Anz.],2008,8.0
Hausen a.A.,Scheidungen [Anz.],2009,4.0
Hausen a.A.,Scheidungen [Anz.],2010,6.0
Hausen a.A.,Scheidungen [Anz.],2011,7.0
Hausen a.A.,Scheidungen [Anz.],2012,5.0
Hausen a.A.,Scheidungen [Anz.],2013,5.0
Hausen a.A.,Scheidungen [Anz.],2014,9.0
Hausen a.A.,Scheidungen [Anz.],2015,8.0
Hausen a.A.,Scheidungen [Anz.],2016,7.0
Hausen a.A.,Scheidungen [Anz.],2017,5.0
Hausen a.A.,Scheidungen [Anz.],2018,8.0
Hausen a.A.,Scheidungen [Anz.],2019,6.0
Hausen a.A.,Scheidungen [Anz.],2020,7.0
Hausen a.A.,Scheidungen [Anz.],2021,9.0
Hedingen,Scheidungen [Anz.],1990,5.0
Hedingen,Scheidungen [Anz.],1991,2.0
Hedingen,Scheidungen [Anz.],1992,7.0
Hedingen,Scheidungen [Anz.],1993,5.0
Hedingen,Scheidungen [Anz.],1994,7.0
Hedingen,Scheidungen [Anz.],1995,7.0
Hedingen,Scheidungen [Anz.],1996,8.0
Hedingen,Scheidungen [Anz.],1997,7.0
Hedingen,Scheidungen [Anz.],1998,4.0
Hedingen,Scheidungen [Anz.],1999,5.0
Hedingen,Scheidungen [Anz.],2000,6.0
Hedingen,Scheidungen [Anz.],2001,3.0
Hedingen,Scheidungen [Anz.],2002,5.0
Hedingen,Scheidungen [Anz.],2003,7.0
Hedingen,Scheidungen [Anz.],2004,6.0
Hedingen,Scheidungen [Anz.],2005,8.0
Hedingen,Scheidungen [Anz.],2006,10.0
Hedingen,Scheidungen [Anz.],2007,11.0
Hedingen,Scheidungen [Anz.],2008,5.0
Hedingen,Scheidungen [Anz.],2009,5.0
Hedingen,Scheidungen [Anz.],2010,6.0
Hedingen,Scheidungen [Anz.],2011,7.0
Hedingen,Scheidungen [Anz.],2012,6.0
Hedingen,Scheidungen [Anz.],2013,5.0
Hedingen,Scheidungen [Anz.],2014,11.0
Hedingen,Scheidungen [Anz.],2015,13.0
Hedingen,Scheidungen [Anz.],2016,5.0
Hedingen,Scheidungen [Anz.],2017,7.0
Hedingen,Scheidungen [Anz.],2018,7.0
Hedingen,Scheidungen [Anz.],2019,8.0
Hedingen,Scheidungen [Anz.],2020,7.0
Hedingen,Scheidungen [Anz.],2021,7.0
Kappel a.A.,Scheidungen [Anz.],1990,0.0
Kappel a.A.,Scheidungen [Anz.],1991,0.0
Kappel a.A.,Scheidungen [Anz.],1992,2.0
Kappel a.A.,Scheidungen [Anz.],1993,0.0
Kappel a.A.,Scheidungen [Anz.],1994,2.0
Kappel a.A.,Scheidungen [Anz.],1995,1.0
Kappel a.A.,Scheidungen [Anz.],1996,3.0
Kappel a.A.,Scheidungen [Anz.],1997,0.0
Kappel a.A.,Scheidungen [Anz.],1998,1.0
Kappel a.A.,Scheidungen [Anz.],1999,3.0
Kappel a.A.,Scheidungen [Anz.],2000,2.0
Kappel a.A.,Scheidungen [Anz.],2001,0.0
Kappel a.A.,Scheidungen [Anz.],2002,1.0
Kappel a.A.,Scheidungen [Anz.],2003,1.0
Kappel a.A.,Scheidungen [Anz.],2004,1.0
Kappel a.A.,Scheidungen [Anz.],2005,1.0
Kappel a.A.,Scheidungen [Anz.],2006,2.0
Kappel a.A.,Scheidungen [Anz.],2007,3.0
Kappel a.A.,Scheidungen [Anz.],2008,3.0
Kappel a.A.,Scheidungen [Anz.],2009,1.0
Kappel a.A.,Scheidungen [Anz.],2010,3.0
Kappel a.A.,Scheidungen [Anz.],2011,0.0
Kappel a.A.,Scheidungen [Anz.],2012,2.0
Kappel a.A.,Scheidungen [Anz.],2013,2.0
Kappel a.A.,Scheidungen [Anz.],2014,4.0
Kappel a.A.,Scheidungen [Anz.],2015,3.0
Kappel a.A.,Scheidungen [Anz.],2016,2.0
Kappel a.A.,Scheidungen [Anz.],2017,2.0
Kappel a.A.,Scheidungen [Anz.],2018,4.0
Kappel a.A.,Scheidungen [Anz.],2019,
Kappel a.A.,Scheidungen [Anz.],2020,2.0
Kappel a.A.,Scheidungen [Anz.],2021,1.0
Knonau,Scheidungen [Anz.],1990,3.0
Knonau,Scheidungen [Anz.],1991,1.0
Knonau,Scheidungen [Anz.],1992,2.0
Knonau,Scheidungen [Anz.],1993,2.0
Knonau,Scheidungen [Anz.],1994,3.0
Knonau,Scheidungen [Anz.],1995,3.0
Knonau,Scheidungen [Anz.],1996,3.0
Knonau,Scheidungen [Anz.],1997,3.0
Knonau,Scheidungen [Anz.],1998,2.0
Knonau,Scheidungen [Anz.],1999,2.0
Knonau,Scheidungen [Anz.],2000,2.0
Knonau,Scheidungen [Anz.],2001,0.0
Knonau,Scheidungen [Anz.],2002,3.0
Knonau,Scheidungen [Anz.],2003,3.0
Knonau,Scheidungen [Anz.],2004,2.0
Knonau,Scheidungen [Anz.],2005,2.0
Knonau,Scheidungen [Anz.],2006,2.0
Knonau,Scheidungen [Anz.],2007,4.0
Knonau,Scheidungen [Anz.],2008,5.0
Knonau,Scheidungen [Anz.],2009,3.0
Knonau,Scheidungen [Anz.],2010,3.0
Knonau,Scheidungen [Anz.],2011,4.0
Knonau,Scheidungen [Anz.],2012,5.0
Knonau,Scheidungen [Anz.],2013,5.0
Knonau,Scheidungen [Anz.],2014,4.0
Knonau,Scheidungen [Anz.],2015,5.0
Knonau,Scheidungen [Anz.],2016,2.0
Knonau,Scheidungen [Anz.],2017,1.0
Knonau,Scheidungen [Anz.],2018,1.0
Knonau,Scheidungen [Anz.],2019,2.0
Knonau,Scheidungen [Anz.],2020,9.0
Knonau,Scheidungen [Anz.],2021,2.0
Maschwanden,Scheidungen [Anz.],1990,1.0
Maschwanden,Scheidungen [Anz.],1991,0.0
Maschwanden,Scheidungen [Anz.],1992,2.0
Maschwanden,Scheidungen [Anz.],1993,2.0
Maschwanden,Scheidungen [Anz.],1994,0.0
Maschwanden,Scheidungen [Anz.],1995,0.0
Maschwanden,Scheidungen [Anz.],1996,3.0
Maschwanden,Scheidungen [Anz.],1997,0.0
