Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2005/06;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Total;947669 ;486920 ;460749 ;146474 ;75648 ;70826 ;454092 ;230476 ;223616 ;298414 ;150468 ;147946 ;80797 ;44676 ;36121 ;175610 ;84398 ;91212 ;42007 ;21394 ;20613 ;48689 ;30328 ;18361 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;182580 ;93717 ;88863 ;30396 ;15516 ;14880 ;80387 ;40886 ;39501 ;64395 ;32578 ;31817 ;10884 ;6054 ;4830 ;29870 ;14554 ;15316 ;23641 ;11970 ;11671 ;7402 ;4737 ;2665 ;
Waadt;87716 ;44871 ;42845 ;14827 ;7502 ;7325 ;30162 ;15285 ;14877 ;38146 ;19168 ;18978 ;6714 ;3688 ;3026 ;16716 ;8031 ;8685 ;14716 ;7449 ;7267 ;4581 ;2916 ;1665 ;
Wallis;38428 ;19721 ;18707 ;6062 ;3146 ;2916 ;20394 ;10345 ;10049 ;11234 ;5746 ;5488 ;1457 ;814 ;643 ;3008 ;1497 ;1511 ;6769 ;3435 ;3334 ;738 ;484 ;254 ;
Genf;56436 ;29125 ;27311 ;9507 ;4868 ;4639 ;29831 ;15256 ;14575 ;15015 ;7664 ;7351 ;2713 ;1552 ;1161 ;10146 ;5026 ;5120 ;2156 ;1086 ;1070 ;2083 ;1337 ;746 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;211154 ;108323 ;102831 ;28989 ;14893 ;14096 ;108469 ;54908 ;53561 ;63090 ;31853 ;31237 ;19690 ;11037 ;8653 ;40988 ;19581 ;21407 ;2412 ;1235 ;1177 ;10606 ;6669 ;3937 ;
Bern;112515 ;57595 ;54920 ;15478 ;7965 ;7513 ;58500 ;29415 ;29085 ;32578 ;16443 ;16135 ;13327 ;7443 ;5884 ;18753 ;8707 ;10046 ;498 ;293 ;205 ;5959 ;3772 ;2187 ;
Freiburg;35227 ;18045 ;17182 ;3563 ;1848 ;1715 ;19795 ;10066 ;9729 ;10670 ;5408 ;5262 ;2344 ;1307 ;1037 ;8326 ;4101 ;4225 ;- ;- ;- ;1199 ;723 ;476 ;
Solothurn;31488 ;16165 ;15323 ;4917 ;2506 ;2411 ;15266 ;7752 ;7514 ;9030 ;4499 ;4531 ;1362 ;759 ;603 ;7573 ;3695 ;3878 ;95 ;45 ;50 ;2275 ;1408 ;867 ;
Neuenburg;22079 ;11384 ;10695 ;3412 ;1765 ;1647 ;9710 ;4972 ;4738 ;8114 ;4106 ;4008 ;1859 ;1071 ;788 ;4436 ;2138 ;2298 ;1819 ;897 ;922 ;843 ;541 ;302 ;
Jura;9845 ;5134 ;4711 ;1619 ;809 ;810 ;5198 ;2703 ;2495 ;2698 ;1397 ;1301 ;798 ;457 ;341 ;1900 ;940 ;960 ;- ;- ;- ;330 ;225 ;105 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;127092 ;65448 ;61644 ;20146 ;10546 ;9600 ;49559 ;25042 ;24517 ;48001 ;24223 ;23778 ;10936 ;6005 ;4931 ;33347 ;16247 ;17100 ;3718 ;1971 ;1747 ;9386 ;5637 ;3749 ;
Basel-Stadt;18191 ;9435 ;8756 ;2990 ;1583 ;1407 ;5785 ;2908 ;2877 ;7982 ;4046 ;3936 ;800 ;418 ;382 ;3927 ;1894 ;2033 ;3255 ;1734 ;1521 ;1434 ;898 ;536 ;
Basel-Landschaft;32244 ;16526 ;15718 ;5200 ;2712 ;2488 ;12837 ;6432 ;6405 ;11646 ;5836 ;5810 ;3328 ;1817 ;1511 ;7972 ;3841 ;4131 ;346 ;178 ;168 ;2561 ;1546 ;1015 ;
Aargau;76657 ;39487 ;37170 ;11956 ;6251 ;5705 ;30937 ;15702 ;15235 ;28373 ;14341 ;14032 ;6808 ;3770 ;3038 ;21448 ;10512 ;10936 ;117 ;59 ;58 ;5391 ;3193 ;2198 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;146281 ;75509 ;70772 ;24895 ;12904 ;11991 ;74638 ;37885 ;36753 ;39127 ;19831 ;19296 ;15459 ;8531 ;6928 ;23395 ;11164 ;12231 ;273 ;136 ;137 ;7621 ;4889 ;2732 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;148298 ;76251 ;72047 ;22902 ;11850 ;11052 ;73749 ;37562 ;36187 ;43272 ;21713 ;21559 ;14821 ;8055 ;6766 ;26085 ;12481 ;13604 ;2366 ;1177 ;1189 ;8375 ;5126 ;3249 ;
Glarus;5121 ;2660 ;2461 ;755 ;398 ;357 ;2640 ;1355 ;1285 ;1485 ;759 ;726 ;705 ;387 ;318 ;780 ;372 ;408 ;- ;- ;- ;241 ;148 ;93 ;
Schaffhausen;9439 ;4915 ;4524 ;1430 ;772 ;658 ;4629 ;2372 ;2257 ;2723 ;1376 ;1347 ;975 ;508 ;467 ;1596 ;772 ;824 ;152 ;96 ;56 ;657 ;395 ;262 ;
Appenzell A. Rh.;7629 ;4085 ;3544 ;1128 ;599 ;529 ;4085 ;2173 ;1912 ;2140 ;1127 ;1013 ;642 ;364 ;278 ;1438 ;730 ;708 ;60 ;33 ;27 ;276 ;186 ;90 ;
Appenzell I. Rh.;2530 ;1300 ;1230 ;372 ;186 ;186 ;1274 ;658 ;616 ;815 ;410 ;405 ;209 ;124 ;85 ;515 ;245 ;270 ;91 ;41 ;50 ;69 ;46 ;23 ;
St. Gallen;66320 ;33867 ;32453 ;10184 ;5191 ;4993 ;32277 ;16371 ;15906 ;19459 ;9657 ;9802 ;6937 ;3738 ;3199 ;12349 ;5874 ;6475 ;173 ;45 ;128 ;4400 ;2648 ;1752 ;
Graubünden;23425 ;11995 ;11430 ;3859 ;2027 ;1832 ;11787 ;5955 ;5832 ;6907 ;3449 ;3458 ;2157 ;1232 ;925 ;4750 ;2217 ;2533 ;- ;- ;- ;872 ;564 ;308 ;
Thurgau;33834 ;17429 ;16405 ;5174 ;2677 ;2497 ;17057 ;8678 ;8379 ;9743 ;4935 ;4808 ;3196 ;1702 ;1494 ;4657 ;2271 ;2386 ;1890 ;962 ;928 ;1860 ;1139 ;721 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;94494 ;48187 ;46307 ;11015 ;5754 ;5261 ;51235 ;25918 ;25317 ;27594 ;13651 ;13943 ;7375 ;4078 ;3297 ;18427 ;8663 ;9764 ;1792 ;910 ;882 ;4650 ;2864 ;1786 ;
