Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2006/07;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;935499 ;480889 ;454610 ;143410 ;74174 ;69236 ;449649 ;228192 ;221457 ;296113 ;149535 ;146578 ;79482 ;44060 ;35422 ;175044 ;84177 ;90867 ;41587 ;21298 ;20289 ;46327 ;28988 ;17339 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;181577 ;93137 ;88440 ;30105 ;15498 ;14607 ;80234 ;40691 ;39543 ;64138 ;32356 ;31782 ;10689 ;5931 ;4758 ;29969 ;14588 ;15381 ;23480 ;11837 ;11643 ;7100 ;4592 ;2508 
Waadt;87198 ;44574 ;42624 ;14533 ;7417 ;7116 ;30232 ;15196 ;15036 ;37916 ;19061 ;18855 ;6549 ;3583 ;2966 ;16688 ;8045 ;8643 ;14679 ;7433 ;7246 ;4517 ;2900 ;1617 
Wallis;37877 ;19410 ;18467 ;6067 ;3149 ;2918 ;20125 ;10243 ;9882 ;11067 ;5600 ;5467 ;1449 ;803 ;646 ;2910 ;1440 ;1470 ;6708 ;3357 ;3351 ;618 ;418 ;200 
Genf;56502 ;29153 ;27349 ;9505 ;4932 ;4573 ;29877 ;15252 ;14625 ;15155 ;7695 ;7460 ;2691 ;1545 ;1146 ;10371 ;5103 ;5268 ;2093 ;1047 ;1046 ;1965 ;1274 ;691 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;208814 ;107127 ;101687 ;28697 ;14772 ;13925 ;107165 ;54159 ;53006 ;62493 ;31603 ;30890 ;19347 ;10829 ;8518 ;40708 ;19480 ;21228 ;2438 ;1294 ;1144 ;10459 ;6593 ;3866 
Bern;111177 ;56975 ;54202 ;15515 ;7984 ;7531 ;57551 ;28971 ;28580 ;32151 ;16259 ;15892 ;13018 ;7284 ;5734 ;18573 ;8632 ;9941 ;560 ;343 ;217 ;5960 ;3761 ;2199 
Freiburg;35308 ;17986 ;17322 ;3577 ;1853 ;1724 ;19748 ;9991 ;9757 ;10766 ;5402 ;5364 ;2304 ;1287 ;1017 ;8462 ;4115 ;4347 ;- ;- ;- ;1217 ;740 ;477 
Solothurn;30576 ;15742 ;14834 ;4629 ;2370 ;2259 ;15010 ;7598 ;7412 ;8815 ;4450 ;4365 ;1307 ;742 ;565 ;7423 ;3665 ;3758 ;85 ;43 ;42 ;2122 ;1324 ;798 
Neuenburg;21950 ;11331 ;10619 ;3383 ;1753 ;1630 ;9680 ;4942 ;4738 ;8052 ;4098 ;3954 ;1902 ;1060 ;842 ;4357 ;2130 ;2227 ;1793 ;908 ;885 ;835 ;538 ;297 
Jura;9803 ;5093 ;4710 ;1593 ;812 ;781 ;5176 ;2657 ;2519 ;2709 ;1394 ;1315 ;816 ;456 ;360 ;1893 ;938 ;955 ;- ;- ;- ;325 ;230 ;95 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;124824 ;64370 ;60454 ;19600 ;10254 ;9346 ;48812 ;24759 ;24053 ;47640 ;24089 ;23551 ;10748 ;5923 ;4825 ;33095 ;16158 ;16937 ;3797 ;2008 ;1789 ;8772 ;5268 ;3504 
Basel-Stadt;17711 ;9229 ;8482 ;2916 ;1556 ;1360 ;5594 ;2811 ;2783 ;8030 ;4121 ;3909 ;808 ;451 ;357 ;3870 ;1887 ;1983 ;3352 ;1783 ;1569 ;1171 ;741 ;430 
Basel-Landschaft;31779 ;16326 ;15453 ;5092 ;2647 ;2445 ;12706 ;6409 ;6297 ;11509 ;5771 ;5738 ;3205 ;1773 ;1432 ;7964 ;3828 ;4136 ;340 ;170 ;170 ;2472 ;1499 ;973 
Aargau;75334 ;38815 ;36519 ;11592 ;6051 ;5541 ;30512 ;15539 ;14973 ;28101 ;14197 ;13904 ;6735 ;3699 ;3036 ;21261 ;10443 ;10818 ;105 ;55 ;50 ;5129 ;3028 ;2101 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;145468 ;74962 ;70506 ;24421 ;12481 ;11940 ;75020 ;38188 ;36832 ;39125 ;19888 ;19237 ;15201 ;8398 ;6803 ;23659 ;11369 ;12290 ;265 ;121 ;144 ;6902 ;4405 ;2497 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;144514 ;74445 ;70069 ;21958 ;11411 ;10547 ;72043 ;36759 ;35284 ;42567 ;21332 ;21235 ;14590 ;7983 ;6607 ;25644 ;12140 ;13504 ;2333 ;1209 ;1124 ;7946 ;4943 ;3003 
Glarus;4966 ;2599 ;2367 ;763 ;398 ;365 ;2512 ;1311 ;1201 ;1457 ;751 ;706 ;693 ;390 ;303 ;764 ;361 ;403 ;- ;- ;- ;234 ;139 ;95 
Schaffhausen;9145 ;4741 ;4404 ;1356 ;738 ;618 ;4562 ;2341 ;2221 ;2645 ;1308 ;1337 ;939 ;494 ;445 ;1569 ;731 ;838 ;137 ;83 ;54 ;582 ;354 ;228 
Appenzell A. Rh.;7422 ;3973 ;3449 ;1059 ;565 ;494 ;3962 ;2132 ;1830 ;2139 ;1096 ;1043 ;635 ;372 ;263 ;1357 ;647 ;710 ;147 ;77 ;70 ;262 ;180 ;82 
Appenzell I. Rh.;2499 ;1302 ;1197 ;377 ;202 ;175 ;1238 ;629 ;609 ;817 ;425 ;392 ;208 ;122 ;86 ;487 ;241 ;246 ;122 ;62 ;60 ;67 ;46 ;21 
St. Gallen;64618 ;33029 ;31589 ;9787 ;4980 ;4807 ;31505 ;15945 ;15560 ;18985 ;9440 ;9545 ;6696 ;3604 ;3092 ;12102 ;5773 ;6329 ;187 ;63 ;124 ;4341 ;2664 ;1677 
Graubünden;22839 ;11724 ;11115 ;3695 ;1936 ;1759 ;11567 ;5901 ;5666 ;6801 ;3392 ;3409 ;2228 ;1267 ;961 ;4573 ;2125 ;2448 ;- ;- ;- ;776 ;495 ;281 
Thurgau;33025 ;17077 ;15948 ;4921 ;2592 ;2329 ;16697 ;8500 ;8197 ;9723 ;4920 ;4803 ;3191 ;1734 ;1457 ;4792 ;2262 ;2530 ;1740 ;924 ;816 ;1684 ;1065 ;619 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;92634 ;47428 ;45206 ;10596 ;5589 ;5007 ;50376 ;25490 ;24886 ;27190 ;13582 ;13608 ;7031 ;3960 ;3071 ;18253 ;8645 ;9608 ;1906 ;977 ;929 ;4472 ;2767 ;1705 
