Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2000/01;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;
;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Total;948957 ;486756 ;462201 ;148167 ;76395 ;71772 ;473739 ;240225 ;233514 ;278457 ;139960 ;138497 ;76525 ;42201 ;34324 ;160851 ;76869 ;83982 ;41081 ;20890 ;20191 ;48594 ;30176 ;18418 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;175236 ;89953 ;85283 ;30425 ;15739 ;14686 ;80227 ;40772 ;39455 ;56857 ;28561 ;28296 ;9159 ;5039 ;4120 ;25610 ;12394 ;13216 ;22088 ;11128 ;10960 ;7727 ;4881 ;2846 ;
Waadt;83818 ;43066 ;40752 ;14564 ;7576 ;6988 ;30222 ;15216 ;15006 ;33935 ;17019 ;16916 ;5378 ;3001 ;2377 ;14481 ;6946 ;7535 ;14076 ;7072 ;7004 ;5097 ;3255 ;1842 ;
Wallis;39016 ;19886 ;19130 ;6498 ;3336 ;3162 ;21302 ;10858 ;10444 ;10322 ;5159 ;5163 ;1530 ;788 ;742 ;3003 ;1436 ;1567 ;5789 ;2935 ;2854 ;894 ;533 ;361 ;
Genf;52402 ;27001 ;25401 ;9363 ;4827 ;4536 ;28703 ;14698 ;14005 ;12600 ;6383 ;6217 ;2251 ;1250 ;1001 ;8126 ;4012 ;4114 ;2223 ;1121 ;1102 ;1736 ;1093 ;643 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;212066 ;108828 ;103238 ;27599 ;14264 ;13335 ;115313 ;58696 ;56617 ;58723 ;29404 ;29319 ;19090 ;10649 ;8441 ;37090 ;17461 ;19629 ;2543 ;1294 ;1249 ;10431 ;6464 ;3967 ;
Bern;115045 ;59116 ;55929 ;14601 ;7543 ;7058 ;63772 ;32422 ;31350 ;30937 ;15580 ;15357 ;13225 ;7426 ;5799 ;17178 ;7882 ;9296 ;534 ;272 ;262 ;5735 ;3571 ;2164 ;
Freiburg;33085 ;16918 ;16167 ;3648 ;1884 ;1764 ;19219 ;9842 ;9377 ;9070 ;4498 ;4572 ;1918 ;1064 ;854 ;7152 ;3434 ;3718 ;- ;- ;- ;1148 ;694 ;454 ;
Solothurn;33064 ;16978 ;16086 ;5096 ;2603 ;2493 ;16701 ;8405 ;8296 ;8815 ;4449 ;4366 ;1370 ;742 ;628 ;7201 ;3574 ;3627 ;244 ;133 ;111 ;2452 ;1521 ;931 ;
Neuenburg;21014 ;10664 ;10350 ;2543 ;1324 ;1219 ;10253 ;5244 ;5009 ;7417 ;3612 ;3805 ;1779 ;968 ;811 ;3873 ;1755 ;2118 ;1765 ;889 ;876 ;801 ;484 ;317 ;
Jura;9858 ;5152 ;4706 ;1711 ;910 ;801 ;5368 ;2783 ;2585 ;2484 ;1265 ;1219 ;798 ;449 ;349 ;1686 ;816 ;870 ;- ;- ;- ;295 ;194 ;101 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;130495 ;66813 ;63682 ;21382 ;10905 ;10477 ;53189 ;26797 ;26392 ;47006 ;23669 ;23337 ;10340 ;5704 ;4636 ;30802 ;15005 ;15797 ;5864 ;2960 ;2904 ;8918 ;5442 ;3476 ;
Basel-Stadt;18725 ;9548 ;9177 ;3139 ;1617 ;1522 ;6182 ;3051 ;3131 ;7907 ;3949 ;3958 ;45 ;22 ;23 ;2448 ;1189 ;1259 ;5414 ;2738 ;2676 ;1497 ;931 ;566 ;
Basel-Landschaft;33015 ;16876 ;16139 ;5450 ;2767 ;2683 ;13681 ;6839 ;6842 ;11682 ;5919 ;5763 ;3435 ;1926 ;1509 ;7890 ;3812 ;4078 ;357 ;181 ;176 ;2202 ;1351 ;851 ;
Aargau;78755 ;40389 ;38366 ;12793 ;6521 ;6272 ;33326 ;16907 ;16419 ;27417 ;13801 ;13616 ;6860 ;3756 ;3104 ;20464 ;10004 ;10460 ;93 ;41 ;52 ;5219 ;3160 ;2059 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;143787 ;73797 ;69990 ;24480 ;12510 ;11970 ;74249 ;37782 ;36467 ;37116 ;18512 ;18604 ;14700 ;8015 ;6685 ;22114 ;10363 ;11751 ;302 ;134 ;168 ;7942 ;4993 ;2949 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;155907 ;79989 ;75918 ;24491 ;12731 ;11760 ;82172 ;41538 ;40634 ;41086 ;20614 ;20472 ;14425 ;7859 ;6566 ;25502 ;12136 ;13366 ;1159 ;619 ;540 ;8158 ;5106 ;3052 ;
Glarus;5502 ;2867 ;2635 ;906 ;470 ;436 ;2947 ;1518 ;1429 ;1401 ;716 ;685 ;620 ;353 ;267 ;781 ;363 ;418 ;- ;- ;- ;248 ;163 ;85 ;
Schaffhausen;10217 ;5218 ;4999 ;1642 ;871 ;771 ;5108 ;2554 ;2554 ;2695 ;1332 ;1363 ;1048 ;558 ;490 ;1559 ;727 ;832 ;88 ;47 ;41 ;772 ;461 ;311 ;
Appenzell A. Rh.;8032 ;4242 ;3790 ;1344 ;757 ;587 ;4390 ;2278 ;2112 ;2030 ;1025 ;1005 ;499 ;281 ;218 ;1401 ;671 ;730 ;130 ;73 ;57 ;268 ;182 ;86 ;
Appenzell I. Rh.;2593 ;1346 ;1247 ;436 ;221 ;215 ;1380 ;715 ;665 ;721 ;370 ;351 ;246 ;143 ;103 ;475 ;227 ;248 ;- ;- ;- ;56 ;40 ;16 ;
St. Gallen;69254 ;35421 ;33833 ;10898 ;5646 ;5252 ;35898 ;18097 ;17801 ;18194 ;9028 ;9166 ;6432 ;3465 ;2967 ;11665 ;5520 ;6145 ;97 ;43 ;54 ;4264 ;2650 ;1614 ;
Graubünden;24791 ;12632 ;12159 ;3931 ;2010 ;1921 ;13341 ;6711 ;6630 ;6693 ;3375 ;3318 ;2119 ;1182 ;937 ;4571 ;2192 ;2379 ;3 ;1 ;2 ;826 ;536 ;290 ;
Thurgau;35518 ;18263 ;17255 ;5334 ;2756 ;2578 ;19108 ;9665 ;9443 ;9352 ;4768 ;4584 ;3461 ;1877 ;1584 ;5050 ;2436 ;2614 ;841 ;455 ;386 ;1724 ;1074 ;650 ;
;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;95204 ;48658 ;46546 ;11819 ;6132 ;5687 ;52750 ;26496 ;26254 ;25794 ;13100 ;12694 ;7090 ;3953 ;3137 ;16740 ;8106 ;8634 ;1964 ;1041 ;923 ;4841 ;2930 ;1911 ;
