Year;Kanton;Divorces
1979;Solothurn;357
1979;Basel-Stadt;450
1979;Basel-Landschaft;461
1979;Schaffhausen;132
1979;Appenzell A. Rh.;76
1979;Appenzell I. Rh.;3
1979;St. Gallen;534
1979;Graubünden;191
1979;Aargau;678
1979;Thurgau;271
1979;Tessin;328
1979;Waadt;1003
1979;Wallis;213
1979;Neuenburg;335
1979;Genf;826
1979;Jura;64
1980;Schweiz;10910
1980;Zürich;2539
1980;Bern;1299
1980;Luzern;369
1980;Uri;24
1980;Schwyz;98
1980;Obwalden;27
1980;Nidwalden;40
1980;Glarus;35
1980;Zug;113
1980;Freiburg;219
1980;Solothurn;364
1980;Basel-Stadt;422
1980;Basel-Landschaft;456
1980;Schaffhausen;133
1980;Appenzell A. Rh.;61
1980;Appenzell I. Rh.;10
1980;St. Gallen;549
1980;Graubünden;181
1980;Aargau;695
1980;Thurgau;297
1980;Tessin;350
1980;Waadt;1021
1980;Wallis;235
1980;Neuenburg;367
1980;Genf;941
1980;Jura;65
1981;Schweiz;11131
1981;Zürich;2610
1981;Bern;1351
1981;Luzern;329
1981;Uri;26
1981;Schwyz;117
1981;Obwalden;17
1981;Nidwalden;31
1981;Glarus;56
1981;Zug;134
1981;Freiburg;180
1981;Solothurn;405
1981;Basel-Stadt;425
1981;Basel-Landschaft;471
1981;Schaffhausen;138
1981;Appenzell A. Rh.;77
1981;Appenzell I. Rh.;6
1981;St. Gallen;582
1981;Graubünden;196
1981;Aargau;733
1981;Thurgau;296
1981;Tessin;325
1981;Waadt;1103
1981;Wallis;246
1981;Neuenburg;297
1981;Genf;919
1981;Jura;61
1982;Schweiz;11589
1982;Zürich;2520
1982;Bern;1499
1982;Luzern;369
1982;Uri;25
1982;Schwyz;140
1982;Obwalden;22
1982;Nidwalden;41
1982;Glarus;50
1982;Zug;141
1982;Freiburg;249
1982;Solothurn;366
1982;Basel-Stadt;437
1982;Basel-Landschaft;444
1982;Schaffhausen;135
1982;Appenzell A. Rh.;84
1982;Appenzell I. Rh.;7
1982;St. Gallen;607
1982;Graubünden;206
1982;Aargau;828
1982;Thurgau;299
1982;Tessin;375
1982;Waadt;1038
1982;Wallis;233
1982;Neuenburg;311
1982;Genf;1073
1982;Jura;90
1983;Schweiz;11710
1983;Zürich;2548
1983;Bern;1400
1983;Luzern;407
1983;Uri;21
1983;Schwyz;140
1983;Obwalden;33
1983;Nidwalden;33
1983;Glarus;68
1983;Zug;116
1983;Freiburg;248
1983;Solothurn;392
1983;Basel-Stadt;441
1983;Basel-Landschaft;422
1983;Schaffhausen;130
1983;Appenzell A. Rh.;66
1983;Appenzell I. Rh.;9
1983;St. Gallen;650
1983;Graubünden;224
1983;Aargau;786
1983;Thurgau;346
1983;Tessin;406
1983;Waadt;1106
1983;Wallis;253
1983;Neuenburg;351
1983;Genf;1029
1983;Jura;85
1984;Schweiz;11219
1984;Zürich;2491
1984;Bern;1466
1984;Luzern;367
1984;Uri;14
1984;Schwyz;130
1984;Obwalden;20
1984;Nidwalden;25
1984;Glarus;54
1984;Zug;101
1984;Freiburg;248
1984;Solothurn;395
1984;Basel-Stadt;432
1984;Basel-Landschaft;430
1984;Schaffhausen;125
1984;Appenzell A. Rh.;61
1984;Appenzell I. Rh.;10
1984;St. Gallen;610
1984;Graubünden;188
1984;Aargau;672
1984;Thurgau;279
1984;Tessin;413
1984;Waadt;1091
1984;Wallis;223
1984;Neuenburg;343
1984;Genf;952
1984;Jura;79
1985;Schweiz;11416
1985;Zürich;2528
1985;Bern;1478
1985;Luzern;341
1985;Uri;24
1985;Schwyz;130
1985;Obwalden;28
1985;Nidwalden;36
1985;Glarus;45
1985;Zug;111
1985;Freiburg;243
1985;Solothurn;386
1985;Basel-Stadt;438
1985;Basel-Landschaft;482
1985;Schaffhausen;117
1985;Appenzell A. Rh.;67
1985;Appenzell I. Rh.;7
1985;St. Gallen;629
1985;Graubünden;201
1985;Aargau;764
1985;Thurgau;287
1985;Tessin;412
1985;Waadt;1095
1985;Wallis;228
1985;Neuenburg;329
1985;Genf;934
1985;Jura;76
1986;Schweiz;11395
1986;Zürich;2527
1986;Bern;1438
1986;Luzern;352
1986;Uri;21
1986;Schwyz;128
1986;Obwalden;29
1986;Nidwalden;40
1986;Glarus;44
1986;Zug;117
1986;Freiburg;228
1986;Solothurn;406
1986;Basel-Stadt;436
1986;Basel-Landschaft;486
1986;Schaffhausen;150
1986;Appenzell A. Rh.;71
1986;Appenzell I. Rh.;8
1986;St. Gallen;650
1986;Graubünden;189
1986;Aargau;708
1986;Thurgau;284
1986;Tessin;403
1986;Waadt;1133
1986;Wallis;220
1986;Neuenburg;340
1986;Genf;892
1986;Jura;95
1987;Schweiz;11553
1987;Zürich;2535
1987;Bern;1516
1987;Luzern;407
1987;Uri;29
1987;Schwyz;145
1987;Obwalden;28
1987;Nidwalden;35
1987;Glarus;52
1987;Zug;115
1987;Freiburg;269
1987;Solothurn;427
1987;Basel-Stadt;434
1987;Basel-Landschaft;415
1987;Schaffhausen;140
1987;Appenzell A. Rh.;57
1987;Appenzell I. Rh.;6
1987;St. Gallen;635
1987;Graubünden;218
1987;Aargau;739
1987;Thurgau;267
1987;Tessin;298
1987;Waadt;1108
1987;Wallis;262
1987;Neuenburg;322
1987;Genf;999
1987;Jura;95
1988;Schweiz;12731
