Year;Kanton;Divorces
2014;Uri;41
2014;Schwyz;279
2014;Obwalden;52
2014;Nidwalden;82
2014;Glarus;70
2014;Zug;205
2014;Freiburg;626
2014;Solothurn;532
2014;Basel-Stadt;405
2014;Basel-Landschaft;542
2014;Schaffhausen;169
2014;Appenzell A. Rh.;99
2014;Appenzell I. Rh.;27
2014;St. Gallen;958
2014;Graubünden;352
2014;Aargau;1239
2014;Thurgau;501
2014;Tessin;701
2014;Waadt;1508
2014;Wallis;653
2014;Neuenburg;468
2014;Genf;1165
2014;Jura;159
2015;Schweiz;16960
2015;Zürich;3127
2015;Bern;2087
2015;Luzern;656
2015;Uri;48
2015;Schwyz;294
2015;Obwalden;62
2015;Nidwalden;73
2015;Glarus;80
2015;Zug;222
2015;Freiburg;597
2015;Solothurn;516
2015;Basel-Stadt;412
2015;Basel-Landschaft;525
2015;Schaffhausen;148
2015;Appenzell A. Rh.;119
2015;Appenzell I. Rh.;15
2015;St. Gallen;936
2015;Graubünden;360
2015;Aargau;1301
2015;Thurgau;483
2015;Tessin;672
2015;Waadt;1798
2015;Wallis;694
2015;Neuenburg;436
2015;Genf;1144
2015;Jura;155
2016;Schweiz;17028
2016;Zürich;3193
2016;Bern;2084
2016;Luzern;634
2016;Uri;41
2016;Schwyz;260
2016;Obwalden;58
2016;Nidwalden;61
2016;Glarus;80
2016;Zug;223
2016;Freiburg;638
2016;Solothurn;545
2016;Basel-Stadt;413
2016;Basel-Landschaft;570
2016;Schaffhausen;158
2016;Appenzell A. Rh.;87
2016;Appenzell I. Rh.;17
2016;St. Gallen;954
2016;Graubünden;342
2016;Aargau;1294
2016;Thurgau;504
2016;Tessin;663
2016;Waadt;1792
2016;Wallis;680
2016;Neuenburg;449
2016;Genf;1126
2016;Jura;162
2017;Schweiz;15906
2017;Zürich;2979
2017;Bern;1950
2017;Luzern;634
2017;Uri;46
2017;Schwyz;291
2017;Obwalden;43
2017;Nidwalden;65
2017;Glarus;57
2017;Zug;191
2017;Freiburg;595
2017;Solothurn;485
2017;Basel-Stadt;348
2017;Basel-Landschaft;492
2017;Schaffhausen;144
2017;Appenzell A. Rh.;91
2017;Appenzell I. Rh.;19
2017;St. Gallen;907
2017;Graubünden;306
2017;Aargau;1196
2017;Thurgau;475
2017;Tessin;648
2017;Waadt;1606
2017;Wallis;653
2017;Neuenburg;358
2017;Genf;1148
2017;Jura;179
2018;Schweiz;16542
2018;Zürich;3046
2018;Bern;1913
2018;Luzern;703
2018;Uri;40
2018;Schwyz;272
2018;Obwalden;43
2018;Nidwalden;79
2018;Glarus;66
2018;Zug;236
2018;Freiburg;594
2018;Solothurn;576
2018;Basel-Stadt;361
2018;Basel-Landschaft;591
2018;Schaffhausen;132
2018;Appenzell A. Rh.;109
2018;Appenzell I. Rh.;25
2018;St. Gallen;912
2018;Graubünden;341
2018;Aargau;1268
2018;Thurgau;487
2018;Tessin;680
2018;Waadt;1566
2018;Wallis;713
2018;Neuenburg;410
2018;Genf;1208
2018;Jura;171
2019;Schweiz;16885
2019;Zürich;3100
2019;Bern;1935
2019;Luzern;671
2019;Uri;47
2019;Schwyz;307
2019;Obwalden;54
2019;Nidwalden;89
2019;Glarus;58
2019;Zug;244
2019;Freiburg;626
2019;Solothurn;486
2019;Basel-Stadt;394
2019;Basel-Landschaft;512
2019;Schaffhausen;163
2019;Appenzell A. Rh.;111
2019;Appenzell I. Rh.;16
2019;St. Gallen;976
2019;Graubünden;342
2019;Aargau;1391
2019;Thurgau;527
2019;Tessin;723
2019;Waadt;1708
2019;Wallis;711
2019;Neuenburg;392
2019;Genf;1132
2019;Jura;170
2020;Schweiz;16210
2020;Zürich;2823
2020;Bern;2015
2020;Luzern;723
2020;Uri;48
2020;Schwyz;314
2020;Obwalden;58
2020;Nidwalden;62
2020;Glarus;62
2020;Zug;218
2020;Freiburg;599
2020;Solothurn;496
2020;Basel-Stadt;378
2020;Basel-Landschaft;552
2020;Schaffhausen;151
2020;Appenzell A. Rh.;102
2020;Appenzell I. Rh.;32
2020;St. Gallen;927
2020;Graubünden;327
2020;Aargau;1205
2020;Thurgau;497
2020;Tessin;687
2020;Waadt;1590
2020;Wallis;704
2020;Neuenburg;375
2020;Genf;1086
2020;Jura;179
2021;Schweiz;17159
2021;Zürich;3053
2021;Bern;1962
2021;Luzern;740
2021;Uri;59
2021;Schwyz;312
2021;Obwalden;66
2021;Nidwalden;76
2021;Glarus;70
2021;Zug;223
2021;Freiburg;719
2021;Solothurn;545
2021;Basel-Stadt;358
2021;Basel-Landschaft;520
2021;Schaffhausen;159
2021;Appenzell A. Rh.;91
2021;Appenzell I. Rh.;28
2021;St. Gallen;921
2021;Graubünden;329
2021;Aargau;1482
2021;Thurgau;523
2021;Tessin;705
2021;Waadt;1624
2021;Wallis;710
2021;Neuenburg;435
2021;Genf;1272
2021;Jura;177
