Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2017/18;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Aargau;77025 ;39821 ;37204 ;14186 ;7451 ;6735 ;42284 ;21755 ;20529 ;20555 ;10615 ;9940 ;4566 ;2616 ;1950 ;14945 ;7367 ;7578 ;1044 ;632 ;412 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;164237 ;84602 ;79635 ;32419 ;16728 ;15691 ;89398 ;46102 ;43296 ;42420 ;21772 ;20648 ;13549 ;7525 ;6024 ;26063 ;12530 ;13533 ;2808 ;1717 ;1091 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;127790 ;65712 ;62078 ;23346 ;12169 ;11177 ;69106 ;35585 ;33521 ;35338 ;17958 ;17380 ;11476 ;6516 ;4960 ;20388 ;9386 ;11002 ;3474 ;2056 ;1418 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Glarus;4285 ;2193 ;2092 ;758 ;394 ;364 ;2368 ;1215 ;1153 ;1159 ;584 ;575 ;506 ;291 ;215 ;622 ;272 ;350 ;31 ;21 ;10 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schaffhausen;8603 ;4415 ;4188 ;1556 ;802 ;754 ;4808 ;2492 ;2316 ;2239 ;1121 ;1118 ;826 ;465 ;361 ;1278 ;575 ;703 ;135 ;81 ;54 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Appenzell A. Rh.;5912 ;3053 ;2859 ;1130 ;588 ;542 ;3242 ;1692 ;1550 ;1540 ;773 ;767 ;486 ;272 ;214 ;960 ;438 ;522 ;94 ;63 ;31 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Appenzell I. Rh.;1818 ;918 ;900 ;344 ;164 ;180 ;959 ;507 ;452 ;515 ;247 ;268 ;147 ;88 ;59 ;356 ;150 ;206 ;12 ;9 ;3 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
St. Gallen;57705 ;29569 ;28136 ;10488 ;5454 ;5034 ;31125 ;16005 ;15120 ;16092 ;8110 ;7982 ;5232 ;2860 ;2372 ;9379 ;4378 ;5001 ;1481 ;872 ;609 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Graubünden;19029 ;9830 ;9199 ;3489 ;1834 ;1655 ;10039 ;5155 ;4884 ;5501 ;2841 ;2660 ;1779 ;1074 ;705 ;3541 ;1656 ;1885 ;181 ;111 ;70 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Thurgau;30438 ;15734 ;14704 ;5581 ;2933 ;2648 ;16565 ;8519 ;8046 ;8292 ;4282 ;4010 ;2500 ;1466 ;1034 ;4252 ;1917 ;2335 ;1540 ;899 ;641 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;86778 ;44845 ;41933 ;14922 ;7835 ;7087 ;47815 ;24594 ;23221 ;24041 ;12416 ;11625 ;5107 ;2943 ;2164 ;14358 ;6941 ;7417 ;4576 ;2532 ;2044 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Luzern;43513 ;22473 ;21040 ;7302 ;3886 ;3416 ;24230 ;12479 ;11751 ;11981 ;6108 ;5873 ;2152 ;1215 ;937 ;6873 ;3313 ;3560 ;2956 ;1580 ;1376 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Uri;3947 ;2095 ;1852 ;710 ;373 ;337 ;2176 ;1163 ;1013 ;1061 ;559 ;502 ;311 ;196 ;115 ;720 ;342 ;378 ;30 ;21 ;9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Schwyz;16800 ;8616 ;8184 ;3016 ;1551 ;1465 ;9036 ;4616 ;4420 ;4748 ;2449 ;2299 ;1350 ;770 ;580 ;3165 ;1525 ;1640 ;233 ;154 ;79 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Obwalden;4088 ;2112 ;1976 ;629 ;342 ;287 ;2268 ;1153 ;1115 ;1191 ;617 ;574 ;345 ;204 ;141 ;813 ;389 ;424 ;33 ;24 ;9 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nidwalden;4164 ;2146 ;2018 ;735 ;377 ;358 ;2289 ;1165 ;1124 ;1140 ;604 ;536 ;71 ;46 ;25 ;360 ;171 ;189 ;709 ;387 ;322 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Zug;14266 ;7403 ;6863 ;2530 ;1306 ;1224 ;7816 ;4018 ;3798 ;3920 ;2079 ;1841 ;878 ;512 ;366 ;2427 ;1201 ;1226 ;615 ;366 ;249 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Tessin;37768 ;19376 ;18392 ;8695 ;4461 ;4234 ;15937 ;8135 ;7802 ;13136 ;6780 ;6356 ;1754 ;1042 ;712 ;3661 ;1718 ;1943 ;7721 ;4020 ;3701 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(1) Kindergarten / Eingangsstufe 1. - 2. Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
(2) 3. - 8. Jahr;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
