Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2011/12;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;908953 ;467417 ;441536 ;150344 ;77330 ;73014 ;435547 ;221780 ;213767 ;287219 ;145413 ;141806 ;72868 ;40417 ;32451 ;168100 ;81307 ;86793 ;46251 ;23689 ;22562 ;35843 ;22894 ;12949 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;184098 ;94421 ;89677 ;30808 ;15800 ;15008 ;79988 ;40742 ;39246 ;66497 ;33505 ;32992 ;10760 ;5941 ;4819 ;26025 ;12571 ;13454 ;29712 ;14993 ;14719 ;6805 ;4374 ;2431 
Waadt;91316 ;46965 ;44351 ;15614 ;8030 ;7584 ;31224 ;15961 ;15263 ;40257 ;20287 ;19970 ;6721 ;3707 ;3014 ;16008 ;7718 ;8290 ;17528 ;8862 ;8666 ;4221 ;2687 ;1534 
Wallis;36241 ;18590 ;17651 ;6103 ;3169 ;2934 ;18965 ;9778 ;9187 ;10703 ;5327 ;5376 ;442 ;222 ;220 ;1464 ;686 ;778 ;8797 ;4419 ;4378 ;470 ;316 ;154 
Genf;56541 ;28866 ;27675 ;9091 ;4601 ;4490 ;29799 ;15003 ;14796 ;15537 ;7891 ;7646 ;3597 ;2012 ;1585 ;8553 ;4167 ;4386 ;3387 ;1712 ;1675 ;2114 ;1371 ;743 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;199894 ;102699 ;97195 ;31274 ;16164 ;15110 ;102980 ;52182 ;50798 ;57113 ;28911 ;28202 ;17308 ;9600 ;7708 ;38858 ;18805 ;20053 ;947 ;506 ;441 ;8527 ;5442 ;3085 
Bern;104450 ;53621 ;50829 ;16544 ;8465 ;8079 ;53104 ;26916 ;26188 ;29968 ;15149 ;14819 ;11067 ;6172 ;4895 ;18279 ;8631 ;9648 ;622 ;346 ;276 ;4834 ;3091 ;1743 
Freiburg;37432 ;19181 ;18251 ;5391 ;2829 ;2562 ;19973 ;10078 ;9895 ;10875 ;5506 ;5369 ;2437 ;1353 ;1084 ;8438 ;4153 ;4285 ;- ;- ;- ;1193 ;768 ;425 
Solothurn;27954 ;14484 ;13470 ;4499 ;2379 ;2120 ;14153 ;7211 ;6942 ;7934 ;4039 ;3895 ;1545 ;813 ;732 ;6128 ;3101 ;3027 ;261 ;125 ;136 ;1368 ;855 ;513 
Neuenburg;21173 ;10886 ;10287 ;3438 ;1736 ;1702 ;11165 ;5695 ;5470 ;5725 ;2904 ;2821 ;1600 ;894 ;706 ;4061 ;1975 ;2086 ;64 ;35 ;29 ;845 ;551 ;294 
Jura;8885 ;4527 ;4358 ;1402 ;755 ;647 ;4585 ;2282 ;2303 ;2611 ;1313 ;1298 ;659 ;368 ;291 ;1952 ;945 ;1007 ;- ;- ;- ;287 ;177 ;110 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;120313 ;62216 ;58097 ;20159 ;10378 ;9781 ;47578 ;24332 ;23246 ;46242 ;23551 ;22691 ;9517 ;5188 ;4329 ;33164 ;16450 ;16714 ;3561 ;1913 ;1648 ;6334 ;3955 ;2379 
Basel-Stadt;17044 ;8954 ;8090 ;3146 ;1634 ;1512 ;5649 ;2924 ;2725 ;7632 ;3993 ;3639 ;646 ;387 ;259 ;4310 ;2150 ;2160 ;2676 ;1456 ;1220 ;617 ;403 ;214 
Basel-Landschaft;30791 ;15801 ;14990 ;4912 ;2484 ;2428 ;12192 ;6143 ;6049 ;11408 ;5722 ;5686 ;2794 ;1499 ;1295 ;7867 ;3841 ;4026 ;747 ;382 ;365 ;2279 ;1452 ;827 
Aargau;72478 ;37461 ;35017 ;12101 ;6260 ;5841 ;29737 ;15265 ;14472 ;27202 ;13836 ;13366 ;6077 ;3302 ;2775 ;20987 ;10459 ;10528 ;138 ;75 ;63 ;3438 ;2100 ;1338 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;149581 ;76817 ;72764 ;26803 ;13712 ;13091 ;78299 ;39867 ;38432 ;39910 ;20205 ;19705 ;13986 ;7820 ;6166 ;24752 ;11794 ;12958 ;1172 ;591 ;581 ;4569 ;3033 ;1536 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;130251 ;66921 ;63330 ;20814 ;10637 ;10177 ;65711 ;33370 ;32341 ;37636 ;19059 ;18577 ;12534 ;6986 ;5548 ;23425 ;11161 ;12264 ;1677 ;912 ;765 ;6090 ;3855 ;2235 
Glarus;4443 ;2309 ;2134 ;793 ;423 ;370 ;2146 ;1088 ;1058 ;1343 ;697 ;646 ;574 ;329 ;245 ;769 ;368 ;401 ;- ;- ;- ;161 ;101 ;60 
Schaffhausen;8239 ;4260 ;3979 ;1328 ;675 ;653 ;4084 ;2109 ;1975 ;2448 ;1240 ;1208 ;863 ;476 ;387 ;1557 ;750 ;807 ;28 ;14 ;14 ;379 ;236 ;143 
Appenzell A. Rh.;6295 ;3316 ;2979 ;970 ;515 ;455 ;3177 ;1645 ;1532 ;1948 ;1018 ;930 ;679 ;402 ;277 ;1258 ;607 ;651 ;11 ;9 ;2 ;200 ;138 ;62 
Appenzell I. Rh.;2064 ;1074 ;990 ;290 ;149 ;141 ;1033 ;516 ;517 ;673 ;356 ;317 ;173 ;108 ;65 ;500 ;248 ;252 ;- ;- ;- ;68 ;53 ;15 
St. Gallen;58548 ;29818 ;28730 ;9380 ;4827 ;4553 ;29313 ;14684 ;14629 ;16590 ;8290 ;8300 ;5573 ;3007 ;2566 ;10727 ;5142 ;5585 ;290 ;141 ;149 ;3265 ;2017 ;1248 
Graubünden;20273 ;10404 ;9869 ;3135 ;1561 ;1574 ;10579 ;5447 ;5132 ;5992 ;3015 ;2977 ;1836 ;1036 ;800 ;4121 ;1956 ;2165 ;35 ;23 ;12 ;567 ;381 ;186 
Thurgau;30389 ;15740 ;14649 ;4918 ;2487 ;2431 ;15379 ;7881 ;7498 ;8642 ;4443 ;4199 ;2836 ;1628 ;1208 ;4493 ;2090 ;2403 ;1313 ;725 ;588 ;1450 ;929 ;521 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;87334 ;45032 ;42302 ;12119 ;6295 ;5824 ;45900 ;23541 ;22359 ;26407 ;13327 ;13080 ;6718 ;3717 ;3001 ;18221 ;8805 ;9416 ;1468 ;805 ;663 ;2908 ;1869 ;1039 
