Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2010/11;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;913153 ;469652 ;443501 ;148879 ;76358 ;72521 ;436073 ;222382 ;213691 ;291037 ;147317 ;143720 ;74120 ;41109 ;33011 ;169329 ;81805 ;87524 ;47588 ;24403 ;23185 ;37164 ;23595 ;13569 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;183363 ;94187 ;89176 ;30457 ;15628 ;14829 ;79672 ;40567 ;39105 ;66361 ;33596 ;32765 ;10859 ;6075 ;4784 ;27100 ;13084 ;14016 ;28402 ;14437 ;13965 ;6873 ;4396 ;2477 
Waadt;90453 ;46515 ;43938 ;15105 ;7759 ;7346 ;31065 ;15824 ;15241 ;40188 ;20336 ;19852 ;6812 ;3794 ;3018 ;15779 ;7572 ;8207 ;17597 ;8970 ;8627 ;4095 ;2596 ;1499 
Wallis;35858 ;18432 ;17426 ;5890 ;3037 ;2853 ;18585 ;9586 ;8999 ;10724 ;5362 ;5362 ;1245 ;652 ;593 ;2667 ;1276 ;1391 ;6812 ;3434 ;3378 ;659 ;447 ;212 
Genf;57052 ;29240 ;27812 ;9462 ;4832 ;4630 ;30022 ;15157 ;14865 ;15449 ;7898 ;7551 ;2802 ;1629 ;1173 ;8654 ;4236 ;4418 ;3993 ;2033 ;1960 ;2119 ;1353 ;766 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;201562 ;103479 ;98083 ;31062 ;15901 ;15161 ;101556 ;51607 ;49949 ;59825 ;30222 ;29603 ;17641 ;9814 ;7827 ;39645 ;19108 ;20537 ;2539 ;1300 ;1239 ;9119 ;5749 ;3370 
Bern;105478 ;54081 ;51397 ;16375 ;8317 ;8058 ;53825 ;27423 ;26402 ;30498 ;15318 ;15180 ;11523 ;6427 ;5096 ;18384 ;8572 ;9812 ;591 ;319 ;272 ;4780 ;3023 ;1757 
Freiburg;37051 ;18951 ;18100 ;5239 ;2699 ;2540 ;19800 ;10013 ;9787 ;10830 ;5501 ;5329 ;2392 ;1349 ;1043 ;8438 ;4152 ;4286 ;- ;- ;- ;1182 ;738 ;444 
Solothurn;28547 ;14751 ;13796 ;4549 ;2356 ;2193 ;13820 ;7027 ;6793 ;8140 ;4113 ;4027 ;1139 ;592 ;547 ;6678 ;3361 ;3317 ;323 ;160 ;163 ;2038 ;1255 ;783 
Neuenburg;21306 ;11001 ;10305 ;3412 ;1764 ;1648 ;9307 ;4730 ;4577 ;7760 ;3966 ;3794 ;1948 ;1088 ;860 ;4187 ;2057 ;2130 ;1625 ;821 ;804 ;827 ;541 ;286 
Jura;9180 ;4695 ;4485 ;1487 ;765 ;722 ;4804 ;2414 ;2390 ;2597 ;1324 ;1273 ;639 ;358 ;281 ;1958 ;966 ;992 ;- ;- ;- ;292 ;192 ;100 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;120592 ;62311 ;58281 ;19909 ;10265 ;9644 ;47944 ;24645 ;23299 ;46311 ;23393 ;22918 ;9623 ;5210 ;4413 ;33050 ;16228 ;16822 ;3638 ;1955 ;1683 ;6428 ;4008 ;2420 
Basel-Stadt;16965 ;8853 ;8112 ;3024 ;1548 ;1476 ;5593 ;2906 ;2687 ;7648 ;3943 ;3705 ;641 ;365 ;276 ;4220 ;2077 ;2143 ;2787 ;1501 ;1286 ;700 ;456 ;244 
Basel-Landschaft;31005 ;15916 ;15089 ;4773 ;2419 ;2354 ;12588 ;6402 ;6186 ;11377 ;5651 ;5726 ;2821 ;1517 ;1304 ;7846 ;3769 ;4077 ;710 ;365 ;345 ;2267 ;1444 ;823 
Aargau;72622 ;37542 ;35080 ;12112 ;6298 ;5814 ;29763 ;15337 ;14426 ;27286 ;13799 ;13487 ;6161 ;3328 ;2833 ;20984 ;10382 ;10602 ;141 ;89 ;52 ;3461 ;2108 ;1353 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;148809 ;76595 ;72214 ;26651 ;13584 ;13067 ;77695 ;39701 ;37994 ;40085 ;20407 ;19678 ;14446 ;8048 ;6398 ;24548 ;11809 ;12739 ;1091 ;550 ;541 ;4378 ;2903 ;1475 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;132821 ;68237 ;64584 ;21154 ;10747 ;10407 ;67031 ;34052 ;32979 ;38221 ;19393 ;18828 ;12728 ;7091 ;5637 ;23450 ;11261 ;12189 ;2043 ;1041 ;1002 ;6415 ;4045 ;2370 
Glarus;4483 ;2316 ;2167 ;760 ;386 ;374 ;2170 ;1124 ;1046 ;1353 ;683 ;670 ;563 ;323 ;240 ;790 ;360 ;430 ;- ;- ;- ;200 ;123 ;77 
Schaffhausen;8398 ;4354 ;4044 ;1303 ;653 ;650 ;4153 ;2155 ;1998 ;2512 ;1282 ;1230 ;942 ;525 ;417 ;1526 ;737 ;789 ;44 ;20 ;24 ;430 ;264 ;166 
Appenzell A. Rh.;6468 ;3440 ;3028 ;922 ;489 ;433 ;3344 ;1735 ;1609 ;1992 ;1068 ;924 ;706 ;417 ;289 ;1271 ;642 ;629 ;15 ;9 ;6 ;210 ;148 ;62 
Appenzell I. Rh.;2167 ;1120 ;1047 ;293 ;149 ;144 ;1084 ;548 ;536 ;709 ;364 ;345 ;173 ;103 ;70 ;536 ;261 ;275 ;- ;- ;- ;81 ;59 ;22 
St. Gallen;59644 ;30356 ;29288 ;9446 ;4839 ;4607 ;29923 ;14953 ;14970 ;16842 ;8421 ;8421 ;5785 ;3116 ;2669 ;10776 ;5186 ;5590 ;281 ;119 ;162 ;3433 ;2143 ;1290 
Graubünden;20714 ;10653 ;10061 ;3296 ;1665 ;1631 ;10840 ;5572 ;5268 ;6005 ;3046 ;2959 ;1849 ;1061 ;788 ;4131 ;1965 ;2166 ;25 ;20 ;5 ;573 ;370 ;203 
Thurgau;30947 ;15998 ;14949 ;5134 ;2566 ;2568 ;15517 ;7965 ;7552 ;8808 ;4529 ;4279 ;2710 ;1546 ;1164 ;4420 ;2110 ;2310 ;1678 ;873 ;805 ;1488 ;938 ;550 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;88127 ;45363 ;42764 ;11267 ;5889 ;5378 ;46662 ;23880 ;22782 ;26871 ;13481 ;13390 ;6626 ;3641 ;2985 ;18043 ;8649 ;9394 ;2202 ;1191 ;1011 ;3327 ;2113 ;1214 
