Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2018/19;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1)(3);;; Primarstufe 3-8 (2)(3);;; Sekundarstufe I ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung (3);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;954736 ;491225 ;463511 ;176287 ;91279 ;85008 ;517780 ;266220 ;251560 ;260669 ;133726 ;126943 ;69332 ;39283 ;30049 ;158769 ;75966 ;82803 ;32568 ;18477 ;14091 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;196026 ;100581 ;95445 ;34966 ;18021 ;16945 ;106141 ;54546 ;51595 ;54919 ;28014 ;26905 ;13694 ;7799 ;5895 ;33527 ;15963 ;17564 ;7698 ;4252 ;3446 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;98494 ;50637 ;47857 ;17338 ;8921 ;8417 ;53542 ;27536 ;26006 ;27614 ;14180 ;13434 ;5970 ;3452 ;2518 ;17292 ;8278 ;9014 ;4352 ;2450 ;1902 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;37664 ;19316 ;18348 ;6793 ;3511 ;3282 ;20379 ;10448 ;9931 ;10492 ;5357 ;5135 ;3627 ;2046 ;1581 ;6518 ;3098 ;3420 ;347 ;213 ;134 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;59868 ;30628 ;29240 ;10835 ;5589 ;5246 ;32220 ;16562 ;15658 ;16813 ;8477 ;8336 ;4097 ;2301 ;1796 ;9717 ;4587 ;5130 ;2999 ;1589 ;1410 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;208507 ;107081 ;101426 ;37303 ;19414 ;17889 ;114644 ;58707 ;55937 ;56560 ;28960 ;27600 ;16772 ;9455 ;7317 ;35899 ;17073 ;18826 ;3889 ;2432 ;1457 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;110511 ;56570 ;53941 ;20099 ;10388 ;9711 ;61310 ;31334 ;29976 ;29102 ;14848 ;14254 ;9893 ;5550 ;4343 ;17411 ;8215 ;9196 ;1798 ;1083 ;715 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;40469 ;20754 ;19715 ;7023 ;3717 ;3306 ;21990 ;11234 ;10756 ;11456 ;5803 ;5653 ;2250 ;1288 ;962 ;8583 ;4111 ;4472 ;623 ;404 ;219 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;28221 ;14609 ;13612 ;5166 ;2678 ;2488 ;15524 ;7989 ;7535 ;7531 ;3942 ;3589 ;2390 ;1357 ;1033 ;4647 ;2255 ;2392 ;494 ;330 ;164 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;20733 ;10696 ;10037 ;3550 ;1860 ;1690 ;11083 ;5675 ;5408 ;6100 ;3161 ;2939 ;1713 ;945 ;768 ;3531 ;1683 ;1848 ;856 ;533 ;323 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8573 ;4452 ;4121 ;1465 ;771 ;694 ;4737 ;2475 ;2262 ;2371 ;1206 ;1165 ;526 ;315 ;211 ;1727 ;809 ;918 ;118 ;82 ;36 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;128660 ;66455 ;62205 ;23409 ;12239 ;11170 ;71438 ;36723 ;34715 ;33813 ;17493 ;16320 ;7457 ;4271 ;3186 ;23815 ;11740 ;12075 ;2541 ;1482 ;1059 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;18747 ;9668 ;9079 ;3687 ;1952 ;1735 ;10416 ;5273 ;5143 ;4644 ;2443 ;2201 ;947 ;555 ;392 ;3304 ;1667 ;1637 ;393 ;221 ;172 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
