"Jahr","Kanton","Ehedauer",Scheidungen
"1990","Valais / Wallis","Ehedauer - Total",371
"1990","Neuchâtel","Ehedauer - Total",378
"1990","Genève","Ehedauer - Total",1060
"1990","Jura","Ehedauer - Total",114
"1991","Schweiz","Ehedauer - Total",13628
"1991","Zürich","Ehedauer - Total",2929
"1991","Bern / Berne","Ehedauer - Total",1589
"1991","Luzern","Ehedauer - Total",461
"1991","Uri","Ehedauer - Total",30
"1991","Schwyz","Ehedauer - Total",158
"1991","Obwalden","Ehedauer - Total",29
"1991","Nidwalden","Ehedauer - Total",45
"1991","Glarus","Ehedauer - Total",57
"1991","Zug","Ehedauer - Total",122
"1991","Fribourg / Freiburg","Ehedauer - Total",351
"1991","Solothurn","Ehedauer - Total",413
"1991","Basel-Stadt","Ehedauer - Total",456
"1991","Basel-Landschaft","Ehedauer - Total",504
"1991","Schaffhausen","Ehedauer - Total",136
"1991","Appenzell Ausserrhoden","Ehedauer - Total",72
"1991","Appenzell Innerrhoden","Ehedauer - Total",6
"1991","St. Gallen","Ehedauer - Total",737
"1991","Graubünden / Grigioni / Grischun","Ehedauer - Total",250
"1991","Aargau","Ehedauer - Total",882
"1991","Thurgau","Ehedauer - Total",407
"1991","Ticino","Ehedauer - Total",560
"1991","Vaud","Ehedauer - Total",1419
"1991","Valais / Wallis","Ehedauer - Total",346
"1991","Neuchâtel","Ehedauer - Total",382
"1991","Genève","Ehedauer - Total",1199
"1991","Jura","Ehedauer - Total",88
"1992","Schweiz","Ehedauer - Total",14530
"1992","Zürich","Ehedauer - Total",3088
"1992","Bern / Berne","Ehedauer - Total",1717
"1992","Luzern","Ehedauer - Total",482
"1992","Uri","Ehedauer - Total",36
"1992","Schwyz","Ehedauer - Total",208
"1992","Obwalden","Ehedauer - Total",32
"1992","Nidwalden","Ehedauer - Total",51
"1992","Glarus","Ehedauer - Total",79
"1992","Zug","Ehedauer - Total",155
"1992","Fribourg / Freiburg","Ehedauer - Total",337
"1992","Solothurn","Ehedauer - Total",461
"1992","Basel-Stadt","Ehedauer - Total",388
"1992","Basel-Landschaft","Ehedauer - Total",495
"1992","Schaffhausen","Ehedauer - Total",146
"1992","Appenzell Ausserrhoden","Ehedauer - Total",88
"1992","Appenzell Innerrhoden","Ehedauer - Total",19
"1992","St. Gallen","Ehedauer - Total",911
"1992","Graubünden / Grigioni / Grischun","Ehedauer - Total",281
"1992","Aargau","Ehedauer - Total",963
"1992","Thurgau","Ehedauer - Total",428
"1992","Ticino","Ehedauer - Total",580
"1992","Vaud","Ehedauer - Total",1379
"1992","Valais / Wallis","Ehedauer - Total",415
"1992","Neuchâtel","Ehedauer - Total",395
"1992","Genève","Ehedauer - Total",1283
"1992","Jura","Ehedauer - Total",113
"1993","Schweiz","Ehedauer - Total",15054
"1993","Zürich","Ehedauer - Total",3067
"1993","Bern / Berne","Ehedauer - Total",1694
"1993","Luzern","Ehedauer - Total",478
"1993","Uri","Ehedauer - Total",30
"1993","Schwyz","Ehedauer - Total",226
"1993","Obwalden","Ehedauer - Total",30
"1993","Nidwalden","Ehedauer - Total",47
"1993","Glarus","Ehedauer - Total",76
"1993","Zug","Ehedauer - Total",159
"1993","Fribourg / Freiburg","Ehedauer - Total",440
"1993","Solothurn","Ehedauer - Total",569
"1993","Basel-Stadt","Ehedauer - Total",500
"1993","Basel-Landschaft","Ehedauer - Total",527
"1993","Schaffhausen","Ehedauer - Total",143
"1993","Appenzell Ausserrhoden","Ehedauer - Total",93
"1993","Appenzell Innerrhoden","Ehedauer - Total",14
"1993","St. Gallen","Ehedauer - Total",867
"1993","Graubünden / Grigioni / Grischun","Ehedauer - Total",265
"1993","Aargau","Ehedauer - Total",1059
"1993","Thurgau","Ehedauer - Total",466
"1993","Ticino","Ehedauer - Total",643
"1993","Vaud","Ehedauer - Total",1568
"1993","Valais / Wallis","Ehedauer - Total",421
"1993","Neuchâtel","Ehedauer - Total",385
"1993","Genève","Ehedauer - Total",1160
"1993","Jura","Ehedauer - Total",127
"1994","Schweiz","Ehedauer - Total",15634
"1994","Zürich","Ehedauer - Total",3186
"1994","Bern / Berne","Ehedauer - Total",1778
"1994","Luzern","Ehedauer - Total",510
"1994","Uri","Ehedauer - Total",32
"1994","Schwyz","Ehedauer - Total",221
"1994","Obwalden","Ehedauer - Total",38
"1994","Nidwalden","Ehedauer - Total",60
"1994","Glarus","Ehedauer - Total",86
"1994","Zug","Ehedauer - Total",171
"1994","Fribourg / Freiburg","Ehedauer - Total",419
"1994","Solothurn","Ehedauer - Total",595
"1994","Basel-Stadt","Ehedauer - Total",548
"1994","Basel-Landschaft","Ehedauer - Total",554
"1994","Schaffhausen","Ehedauer - Total",149
"1994","Appenzell Ausserrhoden","Ehedauer - Total",116
"1994","Appenzell Innerrhoden","Ehedauer - Total",16
"1994","St. Gallen","Ehedauer - Total",908
"1994","Graubünden / Grigioni / Grischun","Ehedauer - Total",276
"1994","Aargau","Ehedauer - Total",1034
"1994","Thurgau","Ehedauer - Total",523
"1994","Ticino","Ehedauer - Total",699
"1994","Vaud","Ehedauer - Total",1545
"1994","Valais / Wallis","Ehedauer - Total",447
"1994","Neuchâtel","Ehedauer - Total",411
"1994","Genève","Ehedauer - Total",1202
"1994","Jura","Ehedauer - Total",110
"1995","Schweiz","Ehedauer - Total",15703
"1995","Zürich","Ehedauer - Total",3126
"1995","Bern / Berne","Ehedauer - Total",1859
"1995","Luzern","Ehedauer - Total",530
"1995","Uri","Ehedauer - Total",38
"1995","Schwyz","Ehedauer - Total",195
"1995","Obwalden","Ehedauer - Total",38
"1995","Nidwalden","Ehedauer - Total",68
"1995","Glarus","Ehedauer - Total",100
"1995","Zug","Ehedauer - Total",182
"1995","Fribourg / Freiburg","Ehedauer - Total",457
"1995","Solothurn","Ehedauer - Total",574
"1995","Basel-Stadt","Ehedauer - Total",525
"1995","Basel-Landschaft","Ehedauer - Total",591
"1995","Schaffhausen","Ehedauer - Total",149
"1995","Appenzell Ausserrhoden","Ehedauer - Total",125
"1995","Appenzell Innerrhoden","Ehedauer - Total",17
"1995","St. Gallen","Ehedauer - Total",890
"1995","Graubünden / Grigioni / Grischun","Ehedauer - Total",291
"1995","Aargau","Ehedauer - Total",1049
"1995","Thurgau","Ehedauer - Total",466
"1995","Ticino","Ehedauer - Total",637
"1995","Vaud","Ehedauer - Total",1642
"1995","Valais / Wallis","Ehedauer - Total",435
"1995","Neuchâtel","Ehedauer - Total",419
"1995","Genève","Ehedauer - Total",1167
"1995","Jura","Ehedauer - Total",133
"1996","Schweiz","Ehedauer - Total",16172
"1996","Zürich","Ehedauer - Total",3188
"1996","Bern / Berne","Ehedauer - Total",1944
"1996","Luzern","Ehedauer - Total",531
"1996","Uri","Ehedauer - Total",54
"1996","Schwyz","Ehedauer - Total",230
"1996","Obwalden","Ehedauer - Total",40
"1996","Nidwalden","Ehedauer - Total",55
"1996","Glarus","Ehedauer - Total",87
"1996","Zug","Ehedauer - Total",204
"1996","Fribourg / Freiburg","Ehedauer - Total",454
"1996","Solothurn","Ehedauer - Total",609
"1996","Basel-Stadt","Ehedauer - Total",499
"1996","Basel-Landschaft","Ehedauer - Total",659
"1996","Schaffhausen","Ehedauer - Total",183
"1996","Appenzell Ausserrhoden","Ehedauer - Total",99
"1996","Appenzell Innerrhoden","Ehedauer - Total",9
"1996","St. Gallen","Ehedauer - Total",953
"1996","Graubünden / Grigioni / Grischun","Ehedauer - Total",291
"1996","Aargau","Ehedauer - Total",1111
"1996","Thurgau","Ehedauer - Total",520
"1996","Ticino","Ehedauer - Total",619
"1996","Vaud","Ehedauer - Total",1657
"1996","Valais / Wallis","Ehedauer - Total",489
"1996","Neuchâtel","Ehedauer - Total",453
"1996","Genève","Ehedauer - Total",1109
"1996","Jura","Ehedauer - Total",125
"1997","Schweiz","Ehedauer - Total",17073
"1997","Zürich","Ehedauer - Total",3456
"1997","Bern / Berne","Ehedauer - Total",1968
"1997","Luzern","Ehedauer - Total",582
"1997","Uri","Ehedauer - Total",36
"1997","Schwyz","Ehedauer - Total",247
"1997","Obwalden","Ehedauer - Total",40
"1997","Nidwalden","Ehedauer - Total",69
"1997","Glarus","Ehedauer - Total",79
"1997","Zug","Ehedauer - Total",197
"1997","Fribourg / Freiburg","Ehedauer - Total",486
"1997","Solothurn","Ehedauer - Total",591
"1997","Basel-Stadt","Ehedauer - Total",526
"1997","Basel-Landschaft","Ehedauer - Total",640
"1997","Schaffhausen","Ehedauer - Total",174
"1997","Appenzell Ausserrhoden","Ehedauer - Total",145
"1997","Appenzell Innerrhoden","Ehedauer - Total",21
"1997","St. Gallen","Ehedauer - Total",1031
"1997","Graubünden / Grigioni / Grischun","Ehedauer - Total",343
"1997","Aargau","Ehedauer - Total",1230
"1997","Thurgau","Ehedauer - Total",515
"1997","Ticino","Ehedauer - Total",720
"1997","Vaud","Ehedauer - Total",1618
"1997","Valais / Wallis","Ehedauer - Total",551
"1997","Neuchâtel","Ehedauer - Total",473
"1997","Genève","Ehedauer - Total",1197
"1997","Jura","Ehedauer - Total",138
"1998","Schweiz","Ehedauer - Total",17868
"1998","Zürich","Ehedauer - Total",3602
"1998","Bern / Berne","Ehedauer - Total",2160
"1998","Luzern","Ehedauer - Total",620
"1998","Uri","Ehedauer - Total",31
"1998","Schwyz","Ehedauer - Total",259
"1998","Obwalden","Ehedauer - Total",38
"1998","Nidwalden","Ehedauer - Total",74
"1998","Glarus","Ehedauer - Total",86
"1998","Zug","Ehedauer - Total",223
"1998","Fribourg / Freiburg","Ehedauer - Total",516
"1998","Solothurn","Ehedauer - Total",640
"1998","Basel-Stadt","Ehedauer - Total",511
"1998","Basel-Landschaft","Ehedauer - Total",612
"1998","Schaffhausen","Ehedauer - Total",200
"1998","Appenzell Ausserrhoden","Ehedauer - Total",112
"1998","Appenzell Innerrhoden","Ehedauer - Total",7
"1998","St. Gallen","Ehedauer - Total",1020
"1998","Graubünden / Grigioni / Grischun","Ehedauer - Total",357
"1998","Aargau","Ehedauer - Total",1383
"1998","Thurgau","Ehedauer - Total",606
"1998","Ticino","Ehedauer - Total",689
"1998","Vaud","Ehedauer - Total",1789
"1998","Valais / Wallis","Ehedauer - Total",534
"1998","Neuchâtel","Ehedauer - Total",493
"1998","Genève","Ehedauer - Total",1149
"1998","Jura","Ehedauer - Total",157
"1999","Schweiz","Ehedauer - Total",20809
"1999","Zürich","Ehedauer - Total",3828
"1999","Bern / Berne","Ehedauer - Total",2737
"1999","Luzern","Ehedauer - Total",662
"1999","Uri","Ehedauer - Total",57
"1999","Schwyz","Ehedauer - Total",303
"1999","Obwalden","Ehedauer - Total",53
"1999","Nidwalden","Ehedauer - Total",72
"1999","Glarus","Ehedauer - Total",111
"1999","Zug","Ehedauer - Total",270
"1999","Fribourg / Freiburg","Ehedauer - Total",559
"1999","Solothurn","Ehedauer - Total",876
"1999","Basel-Stadt","Ehedauer - Total",577
"1999","Basel-Landschaft","Ehedauer - Total",820
"1999","Schaffhausen","Ehedauer - Total",218
"1999","Appenzell Ausserrhoden","Ehedauer - Total",133
"1999","Appenzell Innerrhoden","Ehedauer - Total",23
"1999","St. Gallen","Ehedauer - Total",1259
"1999","Graubünden / Grigioni / Grischun","Ehedauer - Total",415
"1999","Aargau","Ehedauer - Total",1453
"1999","Thurgau","Ehedauer - Total",584
"1999","Ticino","Ehedauer - Total",813
"1999","Vaud","Ehedauer - Total",2178
"1999","Valais / Wallis","Ehedauer - Total",696
"1999","Neuchâtel","Ehedauer - Total",582
"1999","Genève","Ehedauer - Total",1351
"1999","Jura","Ehedauer - Total",179
"2000","Schweiz","Ehedauer - Total",10511
"2000","Zürich","Ehedauer - Total",1977
"2000","Bern / Berne","Ehedauer - Total",1006
"2000","Luzern","Ehedauer - Total",510
"2000","Uri","Ehedauer - Total",20
"2000","Schwyz","Ehedauer - Total",127
"2000","Obwalden","Ehedauer - Total",33
"2000","Nidwalden","Ehedauer - Total",41
"2000","Glarus","Ehedauer - Total",28
"2000","Zug","Ehedauer - Total",124
"2000","Fribourg / Freiburg","Ehedauer - Total",448
"2000","Solothurn","Ehedauer - Total",291
"2000","Basel-Stadt","Ehedauer - Total",228
"2000","Basel-Landschaft","Ehedauer - Total",234
"2000","Schaffhausen","Ehedauer - Total",89
"2000","Appenzell Ausserrhoden","Ehedauer - Total",78
"2000","Appenzell Innerrhoden","Ehedauer - Total",12
"2000","St. Gallen","Ehedauer - Total",728
"2000","Graubünden / Grigioni / Grischun","Ehedauer - Total",327
"2000","Aargau","Ehedauer - Total",780
"2000","Thurgau","Ehedauer - Total",404
"2000","Ticino","Ehedauer - Total",384
"2000","Vaud","Ehedauer - Total",893
"2000","Valais / Wallis","Ehedauer - Total",390
"2000","Neuchâtel","Ehedauer - Total",316
"2000","Genève","Ehedauer - Total",982
"2000","Jura","Ehedauer - Total",61
"2001","Schweiz","Ehedauer - Total",15778
"2001","Zürich","Ehedauer - Total",2708
"2001","Bern / Berne","Ehedauer - Total",1832
"2001","Luzern","Ehedauer - Total",554
"2001","Uri","Ehedauer - Total",45
"2001","Schwyz","Ehedauer - Total",224
"2001","Obwalden","Ehedauer - Total",26
"2001","Nidwalden","Ehedauer - Total",69
"2001","Glarus","Ehedauer - Total",67
"2001","Zug","Ehedauer - Total",225
"2001","Fribourg / Freiburg","Ehedauer - Total",536
"2001","Solothurn","Ehedauer - Total",549
"2001","Basel-Stadt","Ehedauer - Total",520
"2001","Basel-Landschaft","Ehedauer - Total",523
"2001","Schaffhausen","Ehedauer - Total",162
"2001","Appenzell Ausserrhoden","Ehedauer - Total",113
"2001","Appenzell Innerrhoden","Ehedauer - Total",16
"2001","St. Gallen","Ehedauer - Total",933
"2001","Graubünden / Grigioni / Grischun","Ehedauer - Total",328
"2001","Aargau","Ehedauer - Total",1065
"2001","Thurgau","Ehedauer - Total",462
"2001","Ticino","Ehedauer - Total",677
"2001","Vaud","Ehedauer - Total",1934
"2001","Valais / Wallis","Ehedauer - Total",563
"2001","Neuchâtel","Ehedauer - Total",499
"2001","Genève","Ehedauer - Total",1065
"2001","Jura","Ehedauer - Total",83
"2002","Schweiz","Ehedauer - Total",16363
"2002","Zürich","Ehedauer - Total",2959
"2002","Bern / Berne","Ehedauer - Total",1890
"2002","Luzern","Ehedauer - Total",537
"2002","Uri","Ehedauer - Total",50
"2002","Schwyz","Ehedauer - Total",292
"2002","Obwalden","Ehedauer - Total",39
"2002","Nidwalden","Ehedauer - Total",77
"2002","Glarus","Ehedauer - Total",64
"2002","Zug","Ehedauer - Total",227
"2002","Fribourg / Freiburg","Ehedauer - Total",543
"2002","Solothurn","Ehedauer - Total",518
"2002","Basel-Stadt","Ehedauer - Total",477
"2002","Basel-Landschaft","Ehedauer - Total",519
"2002","Schaffhausen","Ehedauer - Total",161
"2002","Appenzell Ausserrhoden","Ehedauer - Total",113
"2002","Appenzell Innerrhoden","Ehedauer - Total",18
"2002","St. Gallen","Ehedauer - Total",1012
"2002","Graubünden / Grigioni / Grischun","Ehedauer - Total",372
"2002","Aargau","Ehedauer - Total",1163
"2002","Thurgau","Ehedauer - Total",558
"2002","Ticino","Ehedauer - Total",718
"2002","Vaud","Ehedauer - Total",1752
"2002","Valais / Wallis","Ehedauer - Total",554
"2002","Neuchâtel","Ehedauer - Total",529
"2002","Genève","Ehedauer - Total",1120
"2002","Jura","Ehedauer - Total",101
"2003","Schweiz","Ehedauer - Total",16799
"2003","Zürich","Ehedauer - Total",3218
"2003","Bern / Berne","Ehedauer - Total",1993
"2003","Luzern","Ehedauer - Total",593
"2003","Uri","Ehedauer - Total",32
"2003","Schwyz","Ehedauer - Total",271
"2003","Obwalden","Ehedauer - Total",44
"2003","Nidwalden","Ehedauer - Total",79
"2003","Glarus","Ehedauer - Total",77
"2003","Zug","Ehedauer - Total",181
"2003","Fribourg / Freiburg","Ehedauer - Total",569
"2003","Solothurn","Ehedauer - Total",579
"2003","Basel-Stadt","Ehedauer - Total",502
"2003","Basel-Landschaft","Ehedauer - Total",549
"2003","Schaffhausen","Ehedauer - Total",165
"2003","Appenzell Ausserrhoden","Ehedauer - Total",122
"2003","Appenzell Innerrhoden","Ehedauer - Total",9
"2003","St. Gallen","Ehedauer - Total",1078
"2003","Graubünden / Grigioni / Grischun","Ehedauer - Total",395
"2003","Aargau","Ehedauer - Total",1227
"2003","Thurgau","Ehedauer - Total",510
"2003","Ticino","Ehedauer - Total",664
"2003","Vaud","Ehedauer - Total",1686
"2003","Valais / Wallis","Ehedauer - Total",616
"2003","Neuchâtel","Ehedauer - Total",424
"2003","Genève","Ehedauer - Total",1061
"2003","Jura","Ehedauer - Total",155
"2004","Schweiz","Ehedauer - Total",17949
"2004","Zürich","Ehedauer - Total",3399
"2004","Bern / Berne","Ehedauer - Total",2169
"2004","Luzern","Ehedauer - Total",635
"2004","Uri","Ehedauer - Total",36
"2004","Schwyz","Ehedauer - Total",316
"2004","Obwalden","Ehedauer - Total",54
"2004","Nidwalden","Ehedauer - Total",80
"2004","Glarus","Ehedauer - Total",77
"2004","Zug","Ehedauer - Total",250
"2004","Fribourg / Freiburg","Ehedauer - Total",626
"2004","Solothurn","Ehedauer - Total",648
"2004","Basel-Stadt","Ehedauer - Total",543
"2004","Basel-Landschaft","Ehedauer - Total",622
"2004","Schaffhausen","Ehedauer - Total",117
"2004","Appenzell Ausserrhoden","Ehedauer - Total",139
"2004","Appenzell Innerrhoden","Ehedauer - Total",11
"2004","St. Gallen","Ehedauer - Total",1079
"2004","Graubünden / Grigioni / Grischun","Ehedauer - Total",410
"2004","Aargau","Ehedauer - Total",1292
"2004","Thurgau","Ehedauer - Total",566
"2004","Ticino","Ehedauer - Total",721
"2004","Vaud","Ehedauer - Total",1987
"2004","Valais / Wallis","Ehedauer - Total",619
"2004","Neuchâtel","Ehedauer - Total",574
"2004","Genève","Ehedauer - Total",874
"2004","Jura","Ehedauer - Total",105
"2005","Schweiz","Ehedauer - Total",21332
"2005","Zürich","Ehedauer - Total",4356
"2005","Bern / Berne","Ehedauer - Total",2775
"2005","Luzern","Ehedauer - Total",732
"2005","Uri","Ehedauer - Total",60
"2005","Schwyz","Ehedauer - Total",302
"2005","Obwalden","Ehedauer - Total",46
"2005","Nidwalden","Ehedauer - Total",74
"2005","Glarus","Ehedauer - Total",91
"2005","Zug","Ehedauer - Total",291
"2005","Fribourg / Freiburg","Ehedauer - Total",713
"2005","Solothurn","Ehedauer - Total",744
"2005","Basel-Stadt","Ehedauer - Total",585
"2005","Basel-Landschaft","Ehedauer - Total",727
"2005","Schaffhausen","Ehedauer - Total",170
"2005","Appenzell Ausserrhoden","Ehedauer - Total",173
"2005","Appenzell Innerrhoden","Ehedauer - Total",31
"2005","St. Gallen","Ehedauer - Total",1219
"2005","Graubünden / Grigioni / Grischun","Ehedauer - Total",424
"2005","Aargau","Ehedauer - Total",1525
"2005","Thurgau","Ehedauer - Total",653
"2005","Ticino","Ehedauer - Total",822
"2005","Vaud","Ehedauer - Total",2153
"2005","Valais / Wallis","Ehedauer - Total",637
"2005","Neuchâtel","Ehedauer - Total",609
"2005","Genève","Ehedauer - Total",1251
"2005","Jura","Ehedauer - Total",169
"2006","Schweiz","Ehedauer - Total",20981
"2006","Zürich","Ehedauer - Total",4036
"2006","Bern / Berne","Ehedauer - Total",2618
"2006","Luzern","Ehedauer - Total",792
"2006","Uri","Ehedauer - Total",41
"2006","Schwyz","Ehedauer - Total",350
"2006","Obwalden","Ehedauer - Total",53
"2006","Nidwalden","Ehedauer - Total",96
"2006","Glarus","Ehedauer - Total",87
"2006","Zug","Ehedauer - Total",262
"2006","Fribourg / Freiburg","Ehedauer - Total",674
"2006","Solothurn","Ehedauer - Total",693
"2006","Basel-Stadt","Ehedauer - Total",598
"2006","Basel-Landschaft","Ehedauer - Total",766
"2006","Schaffhausen","Ehedauer - Total",165
"2006","Appenzell Ausserrhoden","Ehedauer - Total",130
"2006","Appenzell Innerrhoden","Ehedauer - Total",32
"2006","St. Gallen","Ehedauer - Total",1165
"2006","Graubünden / Grigioni / Grischun","Ehedauer - Total",432
"2006","Aargau","Ehedauer - Total",1613
"2006","Thurgau","Ehedauer - Total",586
"2006","Ticino","Ehedauer - Total",762
"2006","Vaud","Ehedauer - Total",2125
"2006","Valais / Wallis","Ehedauer - Total",771
"2006","Neuchâtel","Ehedauer - Total",639
"2006","Genève","Ehedauer - Total",1310
"2006","Jura","Ehedauer - Total",185
"2007","Schweiz","Ehedauer - Total",19882
"2007","Zürich","Ehedauer - Total",3850
"2007","Bern / Berne","Ehedauer - Total",2402
"2007","Luzern","Ehedauer - Total",751
"2007","Uri","Ehedauer - Total",55
"2007","Schwyz","Ehedauer - Total",314
"2007","Obwalden","Ehedauer - Total",76
"2007","Nidwalden","Ehedauer - Total",98
"2007","Glarus","Ehedauer - Total",86
"2007","Zug","Ehedauer - Total",255
"2007","Fribourg / Freiburg","Ehedauer - Total",695
"2007","Solothurn","Ehedauer - Total",692
"2007","Basel-Stadt","Ehedauer - Total",587
"2007","Basel-Landschaft","Ehedauer - Total",630
"2007","Schaffhausen","Ehedauer - Total",206
"2007","Appenzell Ausserrhoden","Ehedauer - Total",113
"2007","Appenzell Innerrhoden","Ehedauer - Total",21
"2007","St. Gallen","Ehedauer - Total",1046
"2007","Graubünden / Grigioni / Grischun","Ehedauer - Total",431
"2007","Aargau","Ehedauer - Total",1453
"2007","Thurgau","Ehedauer - Total",585
"2007","Ticino","Ehedauer - Total",806
"2007","Vaud","Ehedauer - Total",2028
"2007","Valais / Wallis","Ehedauer - Total",678
"2007","Neuchâtel","Ehedauer - Total",592
"2007","Genève","Ehedauer - Total",1272
"2007","Jura","Ehedauer - Total",160
"2008","Schweiz","Ehedauer - Total",19613
"2008","Zürich","Ehedauer - Total",3929
"2008","Bern / Berne","Ehedauer - Total",2333
"2008","Luzern","Ehedauer - Total",748
"2008","Uri","Ehedauer - Total",54
"2008","Schwyz","Ehedauer - Total",297
"2008","Obwalden","Ehedauer - Total",69
"2008","Nidwalden","Ehedauer - Total",71
"2008","Glarus","Ehedauer - Total",85
"2008","Zug","Ehedauer - Total",257
"2008","Fribourg / Freiburg","Ehedauer - Total",692
"2008","Solothurn","Ehedauer - Total",677
"2008","Basel-Stadt","Ehedauer - Total",527
"2008","Basel-Landschaft","Ehedauer - Total",698
"2008","Schaffhausen","Ehedauer - Total",230
"2008","Appenzell Ausserrhoden","Ehedauer - Total",122
"2008","Appenzell Innerrhoden","Ehedauer - Total",15
"2008","St. Gallen","Ehedauer - Total",1050
"2008","Graubünden / Grigioni / Grischun","Ehedauer - Total",400
"2008","Aargau","Ehedauer - Total",1415
"2008","Thurgau","Ehedauer - Total",581
"2008","Ticino","Ehedauer - Total",803
"2008","Vaud","Ehedauer - Total",1949
"2008","Valais / Wallis","Ehedauer - Total",657
"2008","Neuchâtel","Ehedauer - Total",561
"2008","Genève","Ehedauer - Total",1220
"2008","Jura","Ehedauer - Total",173
"2009","Schweiz","Ehedauer - Total",19321
"2009","Zürich","Ehedauer - Total",3957
"2009","Bern / Berne","Ehedauer - Total",2373
"2009","Luzern","Ehedauer - Total",777
"2009","Uri","Ehedauer - Total",40
"2009","Schwyz","Ehedauer - Total",310
"2009","Obwalden","Ehedauer - Total",57
"2009","Nidwalden","Ehedauer - Total",79
"2009","Glarus","Ehedauer - Total",81
"2009","Zug","Ehedauer - Total",245
"2009","Fribourg / Freiburg","Ehedauer - Total",698
"2009","Solothurn","Ehedauer - Total",663
"2009","Basel-Stadt","Ehedauer - Total",554
"2009","Basel-Landschaft","Ehedauer - Total",604
"2009","Schaffhausen","Ehedauer - Total",204
"2009","Appenzell Ausserrhoden","Ehedauer - Total",144
"2009","Appenzell Innerrhoden","Ehedauer - Total",15
"2009","St. Gallen","Ehedauer - Total",881
"2009","Graubünden / Grigioni / Grischun","Ehedauer - Total",372
"2009","Aargau","Ehedauer - Total",1409
"2009","Thurgau","Ehedauer - Total",558
"2009","Ticino","Ehedauer - Total",813
"2009","Vaud","Ehedauer - Total",1852
"2009","Valais / Wallis","Ehedauer - Total",635
"2009","Neuchâtel","Ehedauer - Total",609
"2009","Genève","Ehedauer - Total",1211
"2009","Jura","Ehedauer - Total",180
"2010","Schweiz","Ehedauer - Total",22081
"2010","Zürich","Ehedauer - Total",4379
"2010","Bern / Berne","Ehedauer - Total",2713
"2010","Luzern","Ehedauer - Total",829
"2010","Uri","Ehedauer - Total",50
"2010","Schwyz","Ehedauer - Total",340
"2010","Obwalden","Ehedauer - Total",68
"2010","Nidwalden","Ehedauer - Total",108
"2010","Glarus","Ehedauer - Total",76
"2010","Zug","Ehedauer - Total",280
"2010","Fribourg / Freiburg","Ehedauer - Total",730
"2010","Solothurn","Ehedauer - Total",753
"2010","Basel-Stadt","Ehedauer - Total",647
"2010","Basel-Landschaft","Ehedauer - Total",683
"2010","Schaffhausen","Ehedauer - Total",175
"2010","Appenzell Ausserrhoden","Ehedauer - Total",150
"2010","Appenzell Innerrhoden","Ehedauer - Total",34
"2010","St. Gallen","Ehedauer - Total",1253
"2010","Graubünden / Grigioni / Grischun","Ehedauer - Total",415
"2010","Aargau","Ehedauer - Total",1695
"2010","Thurgau","Ehedauer - Total",657
"2010","Ticino","Ehedauer - Total",885
"2010","Vaud","Ehedauer - Total",2111
"2010","Valais / Wallis","Ehedauer - Total",819
"2010","Neuchâtel","Ehedauer - Total",613
"2010","Genève","Ehedauer - Total",1410
"2010","Jura","Ehedauer - Total",208
"2011","Schweiz","Ehedauer - Total",17566
"2011","Zürich","Ehedauer - Total",3349
"2011","Bern / Berne","Ehedauer - Total",2259
"2011","Luzern","Ehedauer - Total",651
"2011","Uri","Ehedauer - Total",47
"2011","Schwyz","Ehedauer - Total",317
"2011","Obwalden","Ehedauer - Total",61
"2011","Nidwalden","Ehedauer - Total",72
"2011","Glarus","Ehedauer - Total",54
"2011","Zug","Ehedauer - Total",242
"2011","Fribourg / Freiburg","Ehedauer - Total",679
"2011","Solothurn","Ehedauer - Total",573
"2011","Basel-Stadt","Ehedauer - Total",411
"2011","Basel-Landschaft","Ehedauer - Total",589
"2011","Schaffhausen","Ehedauer - Total",173
"2011","Appenzell Ausserrhoden","Ehedauer - Total",107
"2011","Appenzell Innerrhoden","Ehedauer - Total",16
"2011","St. Gallen","Ehedauer - Total",916
"2011","Graubünden / Grigioni / Grischun","Ehedauer - Total",355
"2011","Aargau","Ehedauer - Total",1279
"2011","Thurgau","Ehedauer - Total",536
"2011","Ticino","Ehedauer - Total",737
"2011","Vaud","Ehedauer - Total",1585
"2011","Valais / Wallis","Ehedauer - Total",684
"2011","Neuchâtel","Ehedauer - Total",534
"2011","Genève","Ehedauer - Total",1154
"2011","Jura","Ehedauer - Total",186
"2012","Schweiz","Ehedauer - Total",17550
"2012","Zürich","Ehedauer - Total",3326
"2012","Bern / Berne","Ehedauer - Total",2286
"2012","Luzern","Ehedauer - Total",674
"2012","Uri","Ehedauer - Total",56
"2012","Schwyz","Ehedauer - Total",260
"2012","Obwalden","Ehedauer - Total",65
"2012","Nidwalden","Ehedauer - Total",78
"2012","Glarus","Ehedauer - Total",81
"2012","Zug","Ehedauer - Total",244
"2012","Fribourg / Freiburg","Ehedauer - Total",657
"2012","Solothurn","Ehedauer - Total",531
"2012","Basel-Stadt","Ehedauer - Total",449
"2012","Basel-Landschaft","Ehedauer - Total",589
"2012","Schaffhausen","Ehedauer - Total",161
"2012","Appenzell Ausserrhoden","Ehedauer - Total",105
"2012","Appenzell Innerrhoden","Ehedauer - Total",23
"2012","St. Gallen","Ehedauer - Total",959
"2012","Graubünden / Grigioni / Grischun","Ehedauer - Total",354
"2012","Aargau","Ehedauer - Total",1241
"2012","Thurgau","Ehedauer - Total",475
"2012","Ticino","Ehedauer - Total",704
