"Jahr","Kanton","Ehedauer",Scheidungen
"1974","Schweiz","Ehedauer - Total",8188
"1974","Zürich","Ehedauer - Total",1886
"1974","Bern / Berne","Ehedauer - Total",1227
"1974","Luzern","Ehedauer - Total",249
"1974","Uri","Ehedauer - Total",21
"1974","Schwyz","Ehedauer - Total",66
"1974","Obwalden","Ehedauer - Total",14
"1974","Nidwalden","Ehedauer - Total",19
"1974","Glarus","Ehedauer - Total",28
"1974","Zug","Ehedauer - Total",80
"1974","Fribourg / Freiburg","Ehedauer - Total",66
"1974","Solothurn","Ehedauer - Total",156
"1974","Basel-Stadt","Ehedauer - Total",412
"1974","Basel-Landschaft","Ehedauer - Total",284
"1974","Schaffhausen","Ehedauer - Total",111
"1974","Appenzell Ausserrhoden","Ehedauer - Total",56
"1974","Appenzell Innerrhoden","Ehedauer - Total",10
"1974","St. Gallen","Ehedauer - Total",431
"1974","Graubünden / Grigioni / Grischun","Ehedauer - Total",150
"1974","Aargau","Ehedauer - Total",476
"1974","Thurgau","Ehedauer - Total",233
"1974","Ticino","Ehedauer - Total",212
"1974","Vaud","Ehedauer - Total",784
"1974","Valais / Wallis","Ehedauer - Total",111
"1974","Neuchâtel","Ehedauer - Total",307
"1974","Genève","Ehedauer - Total",735
"1974","Jura","Ehedauer - Total",64
"1975","Schweiz","Ehedauer - Total",8917
"1975","Zürich","Ehedauer - Total",1959
"1975","Bern / Berne","Ehedauer - Total",1161
"1975","Luzern","Ehedauer - Total",259
"1975","Uri","Ehedauer - Total",21
"1975","Schwyz","Ehedauer - Total",83
"1975","Obwalden","Ehedauer - Total",11
"1975","Nidwalden","Ehedauer - Total",18
"1975","Glarus","Ehedauer - Total",38
"1975","Zug","Ehedauer - Total",98
"1975","Fribourg / Freiburg","Ehedauer - Total",230
"1975","Solothurn","Ehedauer - Total",282
"1975","Basel-Stadt","Ehedauer - Total",387
"1975","Basel-Landschaft","Ehedauer - Total",403
"1975","Schaffhausen","Ehedauer - Total",107
"1975","Appenzell Ausserrhoden","Ehedauer - Total",47
"1975","Appenzell Innerrhoden","Ehedauer - Total",4
"1975","St. Gallen","Ehedauer - Total",474
"1975","Graubünden / Grigioni / Grischun","Ehedauer - Total",107
"1975","Aargau","Ehedauer - Total",568
"1975","Thurgau","Ehedauer - Total",231
"1975","Ticino","Ehedauer - Total",204
"1975","Vaud","Ehedauer - Total",926
"1975","Valais / Wallis","Ehedauer - Total",191
"1975","Neuchâtel","Ehedauer - Total",262
"1975","Genève","Ehedauer - Total",789
"1975","Jura","Ehedauer - Total",57
"1976","Schweiz","Ehedauer - Total",9583
"1976","Zürich","Ehedauer - Total",2305
"1976","Bern / Berne","Ehedauer - Total",1196
"1976","Luzern","Ehedauer - Total",258
"1976","Uri","Ehedauer - Total",29
"1976","Schwyz","Ehedauer - Total",96
"1976","Obwalden","Ehedauer - Total",20
"1976","Nidwalden","Ehedauer - Total",18
"1976","Glarus","Ehedauer - Total",42
"1976","Zug","Ehedauer - Total",99
"1976","Fribourg / Freiburg","Ehedauer - Total",146
"1976","Solothurn","Ehedauer - Total",249
"1976","Basel-Stadt","Ehedauer - Total",439
"1976","Basel-Landschaft","Ehedauer - Total",453
"1976","Schaffhausen","Ehedauer - Total",135
"1976","Appenzell Ausserrhoden","Ehedauer - Total",49
"1976","Appenzell Innerrhoden","Ehedauer - Total",8
"1976","St. Gallen","Ehedauer - Total",527
"1976","Graubünden / Grigioni / Grischun","Ehedauer - Total",119
"1976","Aargau","Ehedauer - Total",621
"1976","Thurgau","Ehedauer - Total",224
"1976","Ticino","Ehedauer - Total",317
"1976","Vaud","Ehedauer - Total",900
"1976","Valais / Wallis","Ehedauer - Total",167
"1976","Neuchâtel","Ehedauer - Total",303
"1976","Genève","Ehedauer - Total",805
"1976","Jura","Ehedauer - Total",58
"1977","Schweiz","Ehedauer - Total",10474
"1977","Zürich","Ehedauer - Total",2621
"1977","Bern / Berne","Ehedauer - Total",1278
"1977","Luzern","Ehedauer - Total",317
"1977","Uri","Ehedauer - Total",22
"1977","Schwyz","Ehedauer - Total",87
"1977","Obwalden","Ehedauer - Total",16
"1977","Nidwalden","Ehedauer - Total",28
"1977","Glarus","Ehedauer - Total",29
"1977","Zug","Ehedauer - Total",98
"1977","Fribourg / Freiburg","Ehedauer - Total",174
"1977","Solothurn","Ehedauer - Total",334
"1977","Basel-Stadt","Ehedauer - Total",454
"1977","Basel-Landschaft","Ehedauer - Total",491
"1977","Schaffhausen","Ehedauer - Total",138
"1977","Appenzell Ausserrhoden","Ehedauer - Total",60
"1977","Appenzell Innerrhoden","Ehedauer - Total",6
"1977","St. Gallen","Ehedauer - Total",593
"1977","Graubünden / Grigioni / Grischun","Ehedauer - Total",181
"1977","Aargau","Ehedauer - Total",654
"1977","Thurgau","Ehedauer - Total",293
"1977","Ticino","Ehedauer - Total",280
"1977","Vaud","Ehedauer - Total",966
"1977","Valais / Wallis","Ehedauer - Total",157
"1977","Neuchâtel","Ehedauer - Total",345
"1977","Genève","Ehedauer - Total",782
"1977","Jura","Ehedauer - Total",70
"1978","Schweiz","Ehedauer - Total",10497
"1978","Zürich","Ehedauer - Total",2395
"1978","Bern / Berne","Ehedauer - Total",1325
"1978","Luzern","Ehedauer - Total",333
"1978","Uri","Ehedauer - Total",20
"1978","Schwyz","Ehedauer - Total",111
"1978","Obwalden","Ehedauer - Total",15
"1978","Nidwalden","Ehedauer - Total",21
"1978","Glarus","Ehedauer - Total",35
"1978","Zug","Ehedauer - Total",99
"1978","Fribourg / Freiburg","Ehedauer - Total",170
"1978","Solothurn","Ehedauer - Total",330
"1978","Basel-Stadt","Ehedauer - Total",477
"1978","Basel-Landschaft","Ehedauer - Total",469
"1978","Schaffhausen","Ehedauer - Total",135
"1978","Appenzell Ausserrhoden","Ehedauer - Total",67
"1978","Appenzell Innerrhoden","Ehedauer - Total",9
"1978","St. Gallen","Ehedauer - Total",611
"1978","Graubünden / Grigioni / Grischun","Ehedauer - Total",129
"1978","Aargau","Ehedauer - Total",686
"1978","Thurgau","Ehedauer - Total",260
"1978","Ticino","Ehedauer - Total",277
