,Place,Year,Population,Divorces,Divorces p1k,Ø Taxable assets of natural persons [CHF 1k],Unemployed persons,Unemployed persons p1k,% SVP voters,Number of cattle,Number of cattle p1k,Bezügerquote,Birthrate,Church tax (millions),Church tax (millions) p1k,Number of kindergardeners p1k,Number of primary schoolers,Number of primary schoolers p1k,Number of secondary educationers,Number of secondary educationers p1k
0,Aeugst a.A.,1962,710,,,,,,,,,,,,,,,,,
1,Aeugst a.A.,1963,720,,,,,,,,,,,,,,,,,
2,Aeugst a.A.,1964,705,,,,,,,,,,,,,,,,,
3,Aeugst a.A.,1965,695,,,,,,,,,,,,,,,,,
4,Aeugst a.A.,1966,745,,,,,,,,,,,,,,,,,
5,Aeugst a.A.,1967,704,,,,,,,,,,,,,,,,,
6,Aeugst a.A.,1968,678,,,,,,,,,,,,,,,,,
7,Aeugst a.A.,1969,726,,,,,,,,,,,,,,,,,
8,Aeugst a.A.,1970,700,,,,,,,,,,,,,,,,,
9,Aeugst a.A.,1971,729,,,,,,,,,,,,,,,,,
10,Aeugst a.A.,1972,723,,,,,,,,,,,,,,,,,
11,Aeugst a.A.,1973,713,,,,,,,,,,,,,,,,,
12,Aeugst a.A.,1974,735,,,,,,,,,,,,,,,,,
13,Aeugst a.A.,1975,726,,,,,,,,,,,,,,,,,
14,Aeugst a.A.,1976,732,,,,,,,,,,,,,,,,,
15,Aeugst a.A.,1977,789,,,,,,,,,,,,,,,,,
16,Aeugst a.A.,1978,827,,,,,,,,,,,,,,,,,
17,Aeugst a.A.,1979,853,,,,,,,,,,,,,,,,,
18,Aeugst a.A.,1980,889,,,,,,,,,,,,,,,,,
19,Aeugst a.A.,1981,921,,,,,,,,,,,,,,,,,
20,Aeugst a.A.,1982,961,,,,,,,,,,,,,,,,,
21,Aeugst a.A.,1983,976,,,,,,,,,,,,,,,,,
22,Aeugst a.A.,1984,988,,,,,,,,,,,,,,,,,
23,Aeugst a.A.,1985,1034,,,,,,,952.0,1340.8450704225352,,,,,,,,,
24,Aeugst a.A.,1986,1022,,,,,,,,,,,,,,,,,
25,Aeugst a.A.,1987,1054,,,,,,,,,,,,,,,,,
26,Aeugst a.A.,1988,1126,,,,,,,,,,,,,,,,,
27,Aeugst a.A.,1989,1158,,,,,,,,,,,,,,,,,
28,Aeugst a.A.,1990,1200,4.0,3.3333333333333335,434.0,,,,902.0,1252.7777777777778,,15.5,0.4,0.5633802816901409,25.9,112.0,0.15774647887323945,,
29,Aeugst a.A.,1991,1237,3.0,2.425222312045271,453.0,1.8,0.21126760563380279,27.8,,,,13.3,0.4,0.5555555555555556,23.3,108.0,0.15,,
30,Aeugst a.A.,1992,1292,2.0,1.5479876160990713,453.0,3.4,0.39351851851851855,,,,,12.1,0.4,0.5673758865248227,29.1,104.0,0.1475177304964539,,
31,Aeugst a.A.,1993,1316,3.0,2.2796352583586623,600.0,11.3,1.3356973995271868,,,,,10.6,0.4,0.5755395683453237,31.7,105.0,0.1510791366906475,,
32,Aeugst a.A.,1994,1355,3.0,2.214022140221402,665.0,11.1,1.330935251798561,,,,,10.6,0.4,0.5369127516778525,25.8,114.0,0.15302013422818792,,
33,Aeugst a.A.,1995,1382,5.0,3.61794500723589,667.0,14.3,1.5995525727069353,28.3,,,,11.1,0.5,0.7102272727272727,28.0,108.0,0.1534090909090909,,
34,Aeugst a.A.,1996,1426,6.0,4.207573632538569,645.0,16.7,1.9767992424242422,,707.0,1002.8368794326241,,10.1,0.5,0.7374631268436578,25.3,115.0,0.1696165191740413,,
35,Aeugst a.A.,1997,1445,6.0,4.152249134948097,696.0,19.0,2.335299901671583,,,,,11.2,0.5,0.6887052341597797,28.8,116.0,0.15977961432506887,,
36,Aeugst a.A.,1998,1450,2.0,1.379310344827586,754.0,16.7,1.9168962350780532,,,,,9.7,0.4,0.5714285714285715,29.8,111.0,0.15857142857142856,,
37,Aeugst a.A.,1999,1498,11.0,7.343124165554071,752.0,13.1,1.5595238095238095,29.7,,,,12.4,0.5,0.6858710562414265,29.0,122.0,0.1673525377229081,,
38,Aeugst a.A.,2000,1520,2.0,1.3157894736842104,567.0,10.6,1.211705532693187,,667.0,959.7122302158273,,10.7,0.4,0.5532503457814661,21.4,124.0,0.1715076071922545,,
39,Aeugst a.A.,2001,1502,0.0,0.0,622.0,10.4,1.1987090825265099,,,,,6.6,0.4,0.5610098176718092,24.3,134.0,0.1879382889200561,43.0,0.06056338028169014
40,Aeugst a.A.,2002,1490,5.0,3.3557046979865772,638.0,13.3,1.554464703132305,,,,,8.7,0.4,0.5442176870748299,27.3,126.0,0.17142857142857143,49.0,0.06805555555555555
41,Aeugst a.A.,2003,1542,1.0,0.648508430609598,663.0,22.3,2.5283446712018143,33.0,,,,8.1,0.5,0.6887052341597797,22.8,128.0,0.1763085399449036,42.0,0.059574468085106386
42,Aeugst a.A.,2004,1598,5.0,3.1289111389236544,652.0,27.0,3.0991735537190084,,,,,5.2,0.5,0.6830601092896175,18.8,128.0,0.17486338797814208,49.0,0.07050359712230216
43,Aeugst a.A.,2005,1606,9.0,5.603985056039851,666.0,27.0,3.0737704918032787,,600.0,805.3691275167785,,5.6,0.6,0.7604562737642585,21.9,120.0,0.1520912547528517,49.0,0.06577181208053691
44,Aeugst a.A.,2006,1644,3.0,1.8248175182481752,673.0,23.0,2.4292353189691593,,,,,5.6,0.5,0.6045949214026601,23.7,119.0,0.14389359129383314,51.0,0.07244318181818182
45,Aeugst a.A.,2007,1701,4.0,2.3515579071134627,718.0,14.0,1.4107214832728738,32.7,604.0,857.9545454545454,,7.9,0.6,0.7033997655334114,21.9,125.0,0.14654161781946073,44.0,0.06489675516224189
46,Aeugst a.A.,2008,1700,8.0,4.705882352941176,715.0,11.0,1.0746385306760453,,636.0,938.0530973451328,,6.5,0.5,0.562429696287964,22.3,125.0,0.140607424071991,39.0,0.05371900826446281
47,Aeugst a.A.,2009,1737,3.0,1.7271157167530224,685.0,20.0,1.8747656542932132,,602.0,829.2011019283747,,8.2,0.6,0.6514657980456027,18.8,120.0,0.13029315960912052,54.0,0.07714285714285714
48,Aeugst a.A.,2010,1822,3.0,1.646542261251372,689.0,23.0,2.0810712993123417,,638.0,911.4285714285714,2.7,8.6,0.6,0.6243496357960457,19.0,117.0,0.12174817898022892,60.0,0.0823045267489712
49,Aeugst a.A.,2011,1911,5.0,2.6164311878597593,666.0,18.0,1.5608740894901143,28.7,621.0,851.8518518518518,2.6,6.6,0.5,0.5122950819672132,15.4,123.0,0.1260245901639344,49.0,0.0677731673582296
50,Aeugst a.A.,2012,1959,1.0,0.5104645227156713,720.0,18.0,1.5368852459016393,,597.0,825.7261410788382,2.2,10.5,0.5,0.5060728744939271,20.4,122.0,0.12348178137651822,43.0,0.06030855539971949
51,Aeugst a.A.,2013,1970,1.0,0.5076142131979696,724.0,25.0,2.1086369770580298,,622.0,872.3702664796634,1.7,9.7,0.5,0.4835589941972921,24.0,116.0,0.11218568665377177,44.0,0.05986394557823129
52,Aeugst a.A.,2014,1952,3.0,1.5368852459016393,743.0,18.0,1.4506769825918762,,614.0,835.3741496598639,2.2,9.6,0.6,0.5870841487279843,21.3,119.0,0.11643835616438356,51.0,0.07024793388429752
53,Aeugst a.A.,2015,1986,4.0,2.014098690835851,770.0,24.0,1.9569471624266146,30.9,611.0,841.5977961432507,2.5,9.7,0.6,0.5692599620493358,19.5,119.0,0.11290322580645161,50.0,0.06830601092896176
54,Aeugst a.A.,2016,1969,6.0,3.047232097511427,804.0,20.5,1.620809614168248,,598.0,816.9398907103825,,7.0,0.6,0.5328596802841918,19.1,116.0,0.10301953818827708,49.0,0.062103929024081114
55,Aeugst a.A.,2017,1934,4.0,2.0682523267838677,843.0,28.8,2.1314387211367674,,568.0,719.8986058301647,,5.1,0.6,0.5181347150259067,20.3,112.0,0.09671848013816926,45.0,0.05441354292623942
56,Aeugst a.A.,2018,1979,4.0,2.02122283981809,769.0,26.8,1.9286125503742086,,460.0,556.2273276904474,,8.8,0.5,0.4166666666666667,21.7,121.0,0.10083333333333333,40.0,0.04689331770222743
57,Aeugst a.A.,2019,1981,4.0,2.0191822311963654,814.0,23.3,1.6180555555555556,30.4,675.0,791.3247362250879,,9.1,0.6,0.48504446240905413,21.2,124.0,0.10024252223120453,39.0,0.043869516310461196
58,Aeugst a.A.,2020,2011,6.0,2.9835902536051715,767.0,23.6,1.5898679601185666,,685.0,770.5286839145107,,5.0,0.6,0.46439628482972134,18.7,123.0,0.09520123839009288,44.0,0.04777415852334419
59,Aeugst a.A.,2021,1986,6.0,3.0211480362537766,782.0,19.3,1.2448400412796696,,708.0,768.7296416938111,,7.5,0.6,0.4559270516717325,,,,,
60,Affoltern a.A.,1962,5370,,,,,,,,,,,,,,,,,
61,Affoltern a.A.,1963,5753,,,,,,,,,,,,,,,,,
62,Affoltern a.A.,1964,6001,,,,,,,,,,,,,,,,,
63,Affoltern a.A.,1965,6303,,,,,,,,,,,,,,,,,
64,Affoltern a.A.,1966,6539,,,,,,,,,,,,,,,,,
65,Affoltern a.A.,1967,6660,,,,,,,,,,,,,,,,,
66,Affoltern a.A.,1968,6945,,,,,,,,,,,,,,,,,
67,Affoltern a.A.,1969,6997,,,,,,,,,,,,,,,,,
68,Affoltern a.A.,1970,7363,,,,,,,,,,,,,,,,,
69,Affoltern a.A.,1971,7325,,,,,,,,,,,,,,,,,
70,Affoltern a.A.,1972,7601,,,,,,,,,,,,,,,,,
71,Affoltern a.A.,1973,7682,,,,,,,,,,,,,,,,,
72,Affoltern a.A.,1974,7813,,,,,,,,,,,,,,,,,
73,Affoltern a.A.,1975,7669,,,,,,,,,,,,,,,,,
74,Affoltern a.A.,1976,7574,,,,,,,,,,,,,,,,,
75,Affoltern a.A.,1977,7578,,,,,,,,,,,,,,,,,
76,Affoltern a.A.,1978,7704,,,,,,,,,,,,,,,,,
77,Affoltern a.A.,1979,7766,,,,,,,,,,,,,,,,,
78,Affoltern a.A.,1980,7802,,,,,,,,,,,,,,,,,
79,Affoltern a.A.,1981,7984,,,,,,,,,,,,,,,,,
80,Affoltern a.A.,1982,8072,,,,,,,,,,,,,,,,,
81,Affoltern a.A.,1983,8242,,,,,,,,,,,,,,,,,
82,Affoltern a.A.,1984,8378,,,,,,,,,,,,,,,,,
83,Affoltern a.A.,1985,8393,,,,,,,1027.0,1068.6784599375649,,,,,,,,,
84,Affoltern a.A.,1986,8446,,,,,,,,,,,,,,,,,
85,Affoltern a.A.,1987,8576,,,,,,,,,,,,,,,,,
86,Affoltern a.A.,1988,8706,,,,,,,,,,,,,,,,,
87,Affoltern a.A.,1989,8949,,,,,,,,,,,,,,,,,
88,Affoltern a.A.,1990,9119,27.0,2.960850970501151,170.0,,,,1004.0,1028.688524590164,,16.0,2.0,1.4760147601476015,28.9,636.0,0.48328267477203646,,
89,Affoltern a.A.,1991,9207,21.0,2.280873248615184,126.0,24.0,1.519756838905775,33.1,,,,14.8,1.8,1.3024602026049203,28.5,665.0,0.4907749077490775,,
90,Affoltern a.A.,1992,9314,22.0,2.362035645265192,141.0,82.6,5.079950799507995,,,,,16.7,2.1,1.4726507713884993,25.1,691.0,0.5,,
91,Affoltern a.A.,1993,9221,25.0,2.711202689513068,197.0,187.3,11.29401833092137,,,,,13.8,2.1,1.453287197231834,23.9,825.0,0.5785413744740533,,
92,Affoltern a.A.,1994,9252,29.0,3.1344574146130566,212.0,186.4,10.892940626460963,,,,,14.9,2.1,1.4482758620689657,26.7,786.0,0.5439446366782007,,
93,Affoltern a.A.,1995,9343,28.0,2.9968960719255056,213.0,182.0,10.4959630911188,31.0,,,,13.4,2.1,1.4018691588785048,26.2,790.0,0.5448275862068965,,
94,Affoltern a.A.,1996,9412,29.0,3.081172970675733,205.0,212.8,12.229885057471265,,917.0,928.1376518218624,,12.3,2.0,1.3157894736842104,27.9,776.0,0.5180240320427236,,
95,Affoltern a.A.,1997,9464,23.0,2.430262045646661,226.0,296.1,16.47196261682243,,,,,13.2,1.9,1.2649800266311584,28.8,783.0,0.5151315789473684,,
96,Affoltern a.A.,1998,9524,44.0,4.619907601847963,201.0,217.9,11.946271929824562,,,,,11.6,1.8,1.2080536912751678,31.6,784.0,0.521970705725699,,
97,Affoltern a.A.,1999,9732,38.0,3.904644471845458,202.0,151.8,8.422103861517977,37.4,,,,10.6,2.0,1.297016861219196,32.1,842.0,0.5651006711409396,,
98,Affoltern a.A.,2000,9897,15.0,1.515610791148833,211.0,121.2,6.778523489932886,,714.0,690.522243713733,,11.0,2.2,1.376720901126408,30.5,896.0,0.5810635538261998,,
99,Affoltern a.A.,2001,10035,25.0,2.4912805181863478,205.0,117.7,6.360786856895807,,,,,12.3,2.3,1.432129514321295,27.5,811.0,0.5075093867334167,336.0,0.34963579604578565
100,Affoltern a.A.,2002,10126,31.0,3.06142603199684,210.0,182.8,9.532749269920735,,,,,12.8,2.4,1.4598540145985401,24.1,866.0,0.539227895392279,306.0,0.3135245901639344
101,Affoltern a.A.,2003,10258,12.0,1.1698186781048938,204.0,255.0,13.231631382316314,37.2,,,,12.0,2.2,1.2933568489124045,23.9,847.0,0.5152068126520681,321.0,0.3248987854251012
102,Affoltern a.A.,2004,10124,29.0,2.8644804425128405,203.0,265.0,13.432684509326846,,,,,11.9,2.2,1.2941176470588236,22.7,818.0,0.4808935920047031,315.0,0.30464216634429403
103,Affoltern a.A.,2005,10133,34.0,3.3553735320240796,202.0,254.0,12.443660591808742,,630.0,616.4383561643835,,9.9,2.0,1.1514104778353484,19.9,807.0,0.4747058823529412,356.0,0.34833659491193736
104,Affoltern a.A.,2006,10246,34.0,3.318368143665821,200.0,220.0,10.784313725490199,,,,,11.1,2.1,1.1525795828759606,21.6,756.0,0.43523316062176165,361.0,0.3425047438330171
105,Affoltern a.A.,2007,10374,30.0,2.891844997108155,204.0,163.0,7.819996161965073,37.5,583.0,553.1309297912713,,8.5,2.2,1.1512297226582942,20.5,735.0,0.40340285400658615,369.0,0.327708703374778
106,Affoltern a.A.,2008,10631,30.0,2.821935847991722,202.0,162.0,7.409440175631175,,599.0,531.9715808170515,,10.9,2.6,1.3272077590607454,20.0,716.0,0.3746729461015175,391.0,0.3376511226252159
107,Affoltern a.A.,2009,10705,33.0,3.0826716487622603,209.0,215.0,9.375545089830803,,606.0,523.3160621761658,,10.6,2.6,1.3197969543147208,21.3,676.0,0.3450740173557938,343.0,0.28583333333333333
108,Affoltern a.A.,2010,11063,25.0,2.2597848684805206,201.0,239.0,10.166751744087119,,596.0,496.66666666666663,8.2,10.7,2.3,1.17827868852459,19.1,676.0,0.3431472081218274,327.0,0.26434923201293453
109,Affoltern a.A.,2011,11140,25.0,2.244165170556553,210.0,210.0,8.883248730964466,31.9,608.0,491.51172190784155,8.1,11.3,2.5,1.2588116817724069,19.3,676.0,0.3463114754098361,308.0,0.23839009287925697
110,Affoltern a.A.,2012,11265,36.0,3.1957390146471374,215.0,231.0,9.861680327868852,,612.0,473.6842105263158,8.1,9.9,2.4,1.2188928390045708,18.7,657.0,0.33081570996978854,319.0,0.24240121580547114
111,Affoltern a.A.,2013,11342,28.0,2.4687004055722093,218.0,209.0,8.769721383014433,,596.0,452.88753799392094,8.9,9.5,2.4,1.2409513960703205,17.6,662.0,0.3362112747587608,344.0,0.25387453874538746
112,Affoltern a.A.,2014,11540,30.0,2.5996533795493937,217.0,222.0,9.395632300660234,,624.0,460.51660516605165,8.8,10.9,2.2,1.1116725618999495,19.4,643.0,0.3324715615305067,349.0,0.25253256150506515
113,Affoltern a.A.,2015,11695,24.0,2.05215904232578,223.0,267.0,11.504653567735263,33.8,631.0,456.58465991316933,9.0,10.0,2.3,1.1610297829379101,19.7,653.0,0.3299646286003032,342.0,0.23983169705469845
114,Affoltern a.A.,2016,11868,17.0,1.4324233232221097,230.0,297.9,12.544214249621021,,577.0,404.62833099579245,,12.0,2.5,1.2431626056688214,20.3,658.0,0.3321554770318021,355.0,0.24567474048442905
115,Affoltern a.A.,2017,12080,33.0,2.7317880794701987,231.0,279.3,11.749116607773852,,582.0,402.7681660899654,,10.8,2.5,1.2588116817724069,19.2,669.0,0.3326703132769766,368.0,0.2537931034482759
116,Affoltern a.A.,2018,12201,26.0,2.1309728710761413,238.0,189.9,7.869219293883639,,573.0,395.1724137931035,,12.9,2.4,0.446927374301676,19.1,668.0,0.3363544813695871,329.0,0.21962616822429906
117,Affoltern a.A.,2019,12309,22.0,1.7873100983020553,261.0,157.0,6.587781134608929,30.3,577.0,385.18024032042723,,12.9,2.4,0.4171736485312011,21.0,678.0,0.12625698324022347,314.0,0.20657894736842106
118,Affoltern a.A.,2020,12246,20.0,1.6331863465621428,268.0,237.4,3.684047175667287,,593.0,390.13157894736844,,12.3,2.6,0.4332611231461423,20.5,689.0,0.11976360159916566,317.0,0.211051930758988
119,Affoltern a.A.,2021,12358,24.0,1.9420618223013433,300.0,248.9,3.605365316646387,,560.0,372.83621837549936,,11.0,2.5,0.3966365222909725,,,,,
120,Bonstetten,1962,1220,,,,,,,,,,,,,,,,,
121,Bonstetten,1963,1279,,,,,,,,,,,,,,,,,
122,Bonstetten,1964,1350,,,,,,,,,,,,,,,,,
123,Bonstetten,1965,1380,,,,,,,,,,,,,,,,,
124,Bonstetten,1966,1353,,,,,,,,,,,,,,,,,
125,Bonstetten,1967,1420,,,,,,,,,,,,,,,,,
126,Bonstetten,1968,1528,,,,,,,,,,,,,,,,,
127,Bonstetten,1969,1587,,,,,,,,,,,,,,,,,
128,Bonstetten,1970,1706,,,,,,,,,,,,,,,,,
129,Bonstetten,1971,1673,,,,,,,,,,,,,,,,,
130,Bonstetten,1972,1696,,,,,,,,,,,,,,,,,
131,Bonstetten,1973,1686,,,,,,,,,,,,,,,,,
132,Bonstetten,1974,1654,,,,,,,,,,,,,,,,,
133,Bonstetten,1975,1622,,,,,,,,,,,,,,,,,
134,Bonstetten,1976,1592,,,,,,,,,,,,,,,,,
135,Bonstetten,1977,1601,,,,,,,,,,,,,,,,,
136,Bonstetten,1978,1761,,,,,,,,,,,,,,,,,
137,Bonstetten,1979,1881,,,,,,,,,,,,,,,,,
138,Bonstetten,1980,2135,,,,,,,,,,,,,,,,,
139,Bonstetten,1981,2344,,,,,,,,,,,,,,,,,
140,Bonstetten,1982,2484,,,,,,,,,,,,,,,,,
141,Bonstetten,1983,2592,,,,,,,,,,,,,,,,,
142,Bonstetten,1984,2591,,,,,,,,,,,,,,,,,
143,Bonstetten,1985,2565,,,,,,,514.0,344.96644295302013,,,,,,,,,
144,Bonstetten,1986,2572,,,,,,,,,,,,,,,,,
145,Bonstetten,1987,2575,,,,,,,,,,,,,,,,,
146,Bonstetten,1988,2577,,,,,,,,,,,,,,,,,
147,Bonstetten,1989,2603,,,,,,,,,,,,,,,,,
148,Bonstetten,1990,2738,5.0,1.8261504747991235,127.0,,,,450.0,291.8287937743191,,10.8,0.5,0.0764642911760208,25.7,249.0,0.04149308448591901,,
149,Bonstetten,1991,2725,7.0,2.568807339449541,138.0,7.3,0.10137199355662944,26.4,,,,11.3,0.5,0.07507507507507508,23.7,238.0,0.03775979692210059,,
150,Bonstetten,1992,2815,5.0,1.7761989342806395,120.0,30.9,0.4085356179597017,,,,,12.5,0.6,0.08639308855291576,25.7,237.0,0.03624407401743386,,
151,Bonstetten,1993,3028,8.0,2.642007926023778,200.0,44.2,0.5632869449966866,,,,,14.2,0.6,0.08575103615835357,23.4,239.0,0.035885885885885885,,
152,Bonstetten,1994,3216,9.0,2.798507462686567,179.0,61.7,0.7720220220220221,,,,,14.5,0.6,0.08148852369957897,24.1,229.0,0.03297336213102952,,
153,Bonstetten,1995,3420,2.0,0.5847953216374269,234.0,42.3,0.5075593952483801,27.0,,,,18.7,0.7,0.0955631399317406,25.2,234.0,0.033442904101757896,,
154,Bonstetten,1996,3570,7.0,1.9607843137254901,209.0,56.3,0.6705254632937926,,387.0,242.17772215269088,,16.1,0.7,0.09209314563873174,27.2,233.0,0.03164471003666983,,
155,Bonstetten,1997,3611,11.0,3.0462475768485184,208.0,65.3,0.739055638553126,,,,,11.5,0.7,0.09112210361884926,25.5,242.0,0.03303754266211604,,
156,Bonstetten,1998,3718,16.0,4.303388918773534,155.0,55.6,0.6325369738339023,,,,,14.4,0.7,0.0895942659669781,27.7,252.0,0.03315353242994343,,
157,Bonstetten,1999,3746,15.0,4.00427122263748,211.0,37.4,0.4100337674867342,32.9,,,,11.8,0.8,0.1043160777154779,28.0,261.0,0.03397552720645665,,
158,Bonstetten,2000,3850,3.0,0.7792207792207793,217.0,22.8,0.2473314241083051,,329.0,204.8567870485679,,14.7,0.9,0.11882756799577503,27.8,273.0,0.03494176372712146,,
159,Bonstetten,2001,3970,10.0,2.5188916876574305,221.0,19.1,0.20372029523443835,,,,,13.8,0.8,0.10556875164951175,27.3,308.0,0.040161689920458994,119.0,0.07986577181208054
160,Bonstetten,2002,4087,9.0,2.202104232933692,218.0,38.3,0.41617768505237535,,,,,13.1,0.9,0.11682242990654206,27.7,340.0,0.044890414576181675,107.0,0.06939040207522698
161,Bonstetten,2003,4165,15.0,3.601440576230492,211.0,67.8,0.7459730657512543,32.0,,,,10.3,0.9,0.11588977594643318,27.4,339.0,0.0447347585114806,115.0,0.07196495619524405
162,Bonstetten,2004,4328,12.0,2.7726432532347505,222.0,79.0,0.8687428521157736,,,,,11.8,0.8,0.10253781081773905,26.4,345.0,0.04478193146417445,123.0,0.07658779576587796
163,Bonstetten,2005,4468,11.0,2.4619516562220234,236.0,75.0,0.8112668743509864,,244.0,148.41849148418493,,15.2,0.8,0.10020040080160321,25.0,345.0,0.04442441411279938,129.0,0.07846715328467153
164,Bonstetten,2006,4599,7.0,1.5220700152207,244.0,59.0,0.6331015537814405,,,,,12.3,0.9,0.11149653121902875,26.9,349.0,0.044732119969238655,127.0,0.07466196355085244
165,Bonstetten,2007,4794,7.0,1.4601585314977055,264.0,38.0,0.4058788344868837,30.6,299.0,175.77895355673135,,12.0,0.9,0.10919679689395778,28.7,347.0,0.04346192384769539,123.0,0.07235294117647059
166,Bonstetten,2008,5005,9.0,1.7982017982017982,279.0,36.0,0.37575150300601207,,289.0,170.0,,12.9,1.0,0.11936022917164,25.7,354.0,0.043855302279484636,145.0,0.08347725964306275
167,Bonstetten,2009,5115,17.0,3.32355816226784,259.0,67.0,0.6916914436736042,,292.0,168.10592976396086,,15.8,1.1,0.13106159895150724,24.6,358.0,0.04343605920892987,143.0,0.07848518111964874
168,Bonstetten,2010,5164,13.0,2.517428350116189,270.0,72.0,0.7279786459597185,,303.0,166.30076838638857,1.6,10.0,1.1,0.13023916646933462,27.4,362.0,0.04320840296013368,136.0,0.07116692830978545
169,Bonstetten,2011,5166,9.0,1.7421602787456445,286.0,55.0,0.5470677170366834,27.1,294.0,153.84615384615387,1.8,12.6,1.1,0.12826492537313436,27.9,376.0,0.04479923745978792,122.0,0.062276671771311895
170,Bonstetten,2012,5191,9.0,1.7337699865151224,285.0,51.0,0.5063743595853688,,292.0,149.055640632976,1.8,13.9,1.0,0.11486331265793706,29.2,392.0,0.046412502959981054,125.0,0.06345177664974619
171,Bonstetten,2013,5254,14.0,2.6646364674533687,287.0,60.0,0.5919962112242482,,314.0,159.39086294416245,2.1,10.2,1.1,0.12291876187283497,29.9,406.0,0.04734141791044776,136.0,0.06967213114754098
172,Bonstetten,2014,5279,12.0,2.273157795036939,295.0,59.0,0.5733053482587065,,338.0,173.15573770491804,2.3,14.3,1.0,0.10966114705559821,31.0,391.0,0.04491155524925339,157.0,0.07905337361530715
173,Bonstetten,2015,5322,10.0,1.8789928598271326,333.0,66.0,0.6317482196186538,29.1,368.0,185.29707955689827,2.1,10.4,1.1,0.11947431302270013,27.1,426.0,0.04760308414347972,153.0,0.07770441848654139
174,Bonstetten,2016,5422,10.0,1.8443378827001107,336.0,83.9,0.7812791000856706,,339.0,172.16861350939564,,10.9,1.0,0.10736525660296328,27.1,449.0,0.049237855027963594,153.0,0.07911065149948293
175,Bonstetten,2017,5491,7.0,1.2748133309051175,328.0,75.7,0.6917790693423987,,352.0,182.00620475698034,,8.7,1.1,0.11929291833857501,25.8,454.0,0.0493103073748235,152.0,0.07680646791308741
176,Bonstetten,2018,5539,7.0,1.2637660227477885,349.0,54.1,0.48966366170667247,,335.0,169.27741283476502,,10.0,1.0,0.10808473843493298,25.7,456.0,0.048958557010951254,156.0,0.07874810701665826
177,Bonstetten,2019,5576,10.0,1.793400286944046,370.0,41.9,0.37488368763868013,26.1,329.0,166.07773851590105,,9.9,1.1,0.11773520282564488,26.2,449.0,0.048693200303654705,173.0,0.08602685231228245
178,Bonstetten,2020,5610,15.0,2.6737967914438503,368.0,68.3,0.6172504789791418,,368.0,182.99353555445052,,10.9,1.1,0.11687207819804506,24.6,451.0,0.04874621703415478,171.0,0.08610271903323263
179,Bonstetten,2021,5632,8.0,1.4204545454545454,359.0,70.5,0.6349978383052313,,351.0,176.7371601208459,,8.6,1.0,0.10566356720202874,,,,,
180,Hausen a.A.,1962,1750,,,,,,,,,,,,,,,,,
181,Hausen a.A.,1963,1760,,,,,,,,,,,,,,,,,
182,Hausen a.A.,1964,1850,,,,,,,,,,,,,,,,,
183,Hausen a.A.,1965,1913,,,,,,,,,,,,,,,,,
184,Hausen a.A.,1966,1915,,,,,,,,,,,,,,,,,
185,Hausen a.A.,1967,1880,,,,,,,,,,,,,,,,,
186,Hausen a.A.,1968,1887,,,,,,,,,,,,,,,,,
187,Hausen a.A.,1969,1890,,,,,,,,,,,,,,,,,
188,Hausen a.A.,1970,1844,,,,,,,,,,,,,,,,,
189,Hausen a.A.,1971,1850,,,,,,,,,,,,,,,,,
190,Hausen a.A.,1972,1902,,,,,,,,,,,,,,,,,
191,Hausen a.A.,1973,1941,,,,,,,,,,,,,,,,,
192,Hausen a.A.,1974,1945,,,,,,,,,,,,,,,,,
193,Hausen a.A.,1975,1995,,,,,,,,,,,,,,,,,
194,Hausen a.A.,1976,1960,,,,,,,,,,,,,,,,,
195,Hausen a.A.,1977,1980,,,,,,,,,,,,,,,,,
196,Hausen a.A.,1978,2046,,,,,,,,,,,,,,,,,
197,Hausen a.A.,1979,2131,,,,,,,,,,,,,,,,,
198,Hausen a.A.,1980,2232,,,,,,,,,,,,,,,,,
199,Hausen a.A.,1981,2285,,,,,,,,,,,,,,,,,
200,Hausen a.A.,1982,2332,,,,,,,,,,,,,,,,,
201,Hausen a.A.,1983,2393,,,,,,,,,,,,,,,,,
202,Hausen a.A.,1984,2463,,,,,,,,,,,,,,,,,
203,Hausen a.A.,1985,2494,,,,,,,1868.0,347.8584729981378,,,,,,,,,
204,Hausen a.A.,1986,2469,,,,,,,,,,,,,,,,,
205,Hausen a.A.,1987,2505,,,,,,,,,,,,,,,,,
206,Hausen a.A.,1988,2600,,,,,,,,,,,,,,,,,
207,Hausen a.A.,1989,2653,,,,,,,,,,,,,,,,,
208,Hausen a.A.,1990,2699,4.0,1.4820303816228233,164.0,,,,1699.0,295.32417868937944,,15.5,0.5,0.05249895002099958,23.4,229.0,0.024510328588247886,,
209,Hausen a.A.,1991,2727,7.0,2.566923359002567,150.0,4.6,0.04102893431802775,30.6,,,,15.2,0.5,0.05137690094533497,22.2,233.0,0.02475563110922227,,
210,Hausen a.A.,1992,2786,8.0,2.871500358937545,155.0,22.7,0.20098455871936535,,,,,13.2,0.5,0.0505203597049611,27.9,234.0,0.024725274725274724,,
211,Hausen a.A.,1993,2828,5.0,1.768033946251768,259.0,29.7,0.26151732882502116,,,,,13.4,0.5,0.04982561036372695,28.7,234.0,0.024569508609827803,,
212,Hausen a.A.,1994,2922,8.0,2.737850787132101,270.0,30.2,0.26424471510569786,,,,,8.5,0.6,0.05925340707090657,31.5,240.0,0.02466091245376079,,
