,Divorces_p1k,Pre_school_p1k,Primary_school_p1k,Secondary_school_p1k,SP,CVP,SVP,Foreigners_p1k,Cars_p1k,Average_age_when_married,Average_duration_of_marriage_when_divorced
128,2.3030030716782,17.43069079010333,52.99224172062336,29.40409039941891,18.9,1.3,26.6,135.8167349541666,698.2118984462286,30.6,14.61947
129,2.159234021218819,18.862836706179383,52.23808301565695,28.655292570217554,18.9,1.3,26.6,138.83714961134785,703.3120572546567,30.7,14.414896
130,2.0358265852203945,19.72126512505226,53.965750561214485,28.26480209387984,19.1,0.8,29.0,144.18308371754813,708.1833294036762,30.7,14.666702
131,2.0358265852203945,19.72126512505226,53.965750561214485,28.26480209387984,19.1,0.8,29.0,144.18308371754813,708.1833294036762,30.7,14.666702
132,2.051139920765261,20.016059236370534,54.709513574182566,27.68694906941934,19.1,0.8,29.0,148.8997850578339,712.4964250016955,30.7,14.561466
133,2.0301739968222514,19.40452775561537,55.798611415539796,26.99527429267822,19.1,0.8,29.0,153.39893406123448,716.4341805705334,30.9,14.933879
134,1.8911364857447102,19.32159600281634,58.7212426027469,28.111986313990723,19.1,0.8,29.0,159.9212899296497,720.371710149875,31.0,14.812368
135,1.8483502531940323,19.41975522161362,59.23803137654267,28.11849925167419,19.1,0.8,29.0,161.1446437940167,723.9668127890765,31.0,15.01322372
136,1.8615184218171883,19.44156371395533,59.684032501053416,28.353763538097155,19.1,0.8,29.0,162.6505328656609,725.7420580024127,31.1,15.0270774
137,1.931682663363793,19.794235053665307,59.7191918184851,28.69818968260968,19.1,0.8,29.0,165.1622229976647,731.5076136097829,31.1,15.22898311
138,2.3857588548357493,15.872338427789183,80.45854370548042,38.27030349071944,23.2,33.6,8.4,137.14058905623818,651.892602440388,28.4,13.706154
139,1.895582193374771,15.735870931162442,79.76677569085086,37.941262339266906,23.2,33.6,8.4,139.02064407482473,662.6413753125806,28.4,13.873646
140,2.230183199563949,15.465654762647759,80.76092519316465,38.49146414023525,19.6,33.5,11.8,137.44752204178266,670.4363420002579,28.6,13.835965
141,2.230895645028759,14.843878389482333,81.32703368940017,39.00575184880854,19.6,33.5,11.8,140.29991783073132,694.1988496302382,28.7,14.340396
142,2.3068565127140634,14.396568500259471,80.4683445770628,40.20984691229891,19.6,33.5,11.8,144.89815775817334,685.0350285417748,29.0,14.527798
143,2.3068565127140634,14.729015308770109,80.18454852101712,41.54368837571354,19.6,33.5,11.8,144.89815775817334,685.0350285417748,29.0,14.527798
144,2.807595076273656,14.030099939359097,77.94718728588643,42.015483118990055,19.6,33.5,11.8,150.81865219685457,692.8616993628768,29.4,14.805697
145,2.6098539411117825,13.85081238480244,76.46794603720397,41.68796369437604,21.0,30.6,16.0,153.69484069823272,699.8396914641513,29.4,14.945821
146,2.6401662355028286,13.865621236813414,74.99591628963573,40.41163800471811,21.0,30.6,16.0,156.17627953092415,697.8054330442446,29.7,15.492334
147,2.5769260846736204,13.45438431203149,73.53549045382945,39.91256325943911,21.0,30.6,16.0,163.2475226877488,707.5337849160451,29.6,16.043399
148,2.555288311935539,17.297617870910347,71.92880337093048,39.44222961718267,21.0,30.6,16.0,168.64170684473146,731.8558055930795,29.8,14.793188
149,2.621250803431325,18.811962957776316,71.09693959991813,38.887871508440064,21.0,30.6,16.0,173.63811657743642,712.1220282017861,30.0,15.53313
150,2.3852347295797207,18.93785040819481,70.16243483637079,38.20239717846754,24.3,26.6,18.6,178.55536976407603,719.160565992665,30.3,14.909689
151,2.2546714940201444,20.405291786063593,69.19130390020419,37.32733917877795,24.3,26.6,18.6,186.44451689287737,726.724892328283,30.5,16.021469
152,2.0730994348536065,23.422327650509708,68.50300045023553,37.0839521271949,24.3,26.6,18.6,195.85245714362514,728.8002903011203,30.3,15.950715
153,2.063439219189325,23.297745049888423,68.01108851363155,35.312498969928505,24.3,26.6,18.6,203.78275215326144,731.7627901917416,30.2,16.048655
154,2.063439219189325,23.297745049888423,68.01108851363155,35.312498969928505,24.3,26.6,18.6,203.78275215326144,731.7627901917416,30.2,16.048655
155,1.9417096802521296,23.189933032156922,68.00212059415665,34.527956391217096,24.3,26.6,18.6,211.17475061877767,740.2077011393316,30.6,16.042439
156,2.0454356008386925,22.467731490090216,67.63082131613201,34.57042646370474,23.6,23.7,19.7,215.69727553107586,747.0745141288945,30.6,15.631979
157,1.8884452541307755,21.86153094193745,69.38687419463365,36.159759294641894,23.6,23.7,19.7,221.6209525381339,754.0387337577838,30.7,16.186732
158,1.8637399047421825,22.035429883845705,68.99602778666768,35.94445176553273,23.6,23.7,19.7,222.5537629347942,758.0903254955854,30.5,16.38100377
159,1.9454104163364752,22.449911897148077,68.14530289045723,35.24114076877896,23.6,23.7,19.7,224.868933411647,761.3298402961002,31.0,16.07038852
160,1.8402683903949666,22.56863371592892,67.0791653353651,35.38906776120137,23.6,23.7,19.7,225.67404822179074,766.6914493572887,30.8,16.66899556
161,3.351800072940727,22.77536985166238,69.99828812579547,30.255515832355414,20.6,11.2,0.0,371.9555309663158,642.9055219107494,29.2,12.761116
162,2.402035125483098,22.454870113986598,69.01325766841153,29.829753925933176,20.6,11.2,0.0,372.6921383493958,654.7331343867717,29.1,12.514594
163,2.57483958628493,23.004317993897754,70.39587252005474,31.555686648066573,17.8,11.7,10.4,370.68261052468705,665.0774386027687,29.1,12.986286
164,2.6746460273148225,22.23060702524436,70.64408819645276,32.52799423040643,17.8,11.7,10.4,370.34772786431904,679.2836724800417,29.1,12.933056
165,2.502399803770345,22.02158997907984,70.12144068416224,33.55951631276932,17.8,11.7,10.4,373.10285783020004,670.879000360855,29.5,13.338127
166,2.502399803770345,22.422539994764065,69.81247331913498,34.58783517652414,17.8,11.7,10.4,373.10285783020004,670.879000360855,29.5,13.338127
167,2.9049921279589817,22.076546890892118,69.2716388242561,34.8668719434885,14.6,9.8,9.6,375.07837208978304,673.8885096066766,29.7,13.060717
168,3.02376308469999,21.939593984788853,68.96257227601649,34.98101492261706,14.6,9.8,9.6,375.8583678603991,666.4673906771152,29.7,13.56818
169,2.9029364845713035,21.078240071934403,68.17564591477873,34.45183110934622,14.6,9.8,9.6,369.03123623558514,657.6178119800903,29.7,13.443176
170,2.7347760397753,20.822405437272757,67.69915670266707,34.06141141343089,14.6,9.8,9.6,367.5157922108199,639.5273769014539,29.8,13.449684
171,2.671567113472111,21.2909118184305,66.05675811618119,34.05310484191205,12.9,9.9,8.6,375.24156614279536,627.324108962876,30.0,13.911029
172,3.08051953726664,20.672252384125493,65.59103372185749,33.75244420654774,12.9,9.9,8.6,383.37830309253576,628.6029516183651,30.3,13.58619
173,2.5057867605866235,19.740127764725298,64.70532034551195,33.736922789631166,12.9,9.9,8.6,388.65968636409036,633.1649780472235,30.7,13.658596
174,2.610661605135813,19.766746346909205,64.32074212752725,32.794142098591884,12.9,9.9,8.6,391.3293212495762,636.9841568038074,30.6,13.839748
175,2.6052706136978014,20.369253972345362,62.91845694699776,32.430613101337144,14.3,10.6,10.3,391.28906574527144,628.0576780925073,30.9,13.477291
176,2.4403783110068393,20.775684196193847,60.952899651224904,32.692690386166305,14.3,10.6,10.3,397.5784743969752,620.8406213014653,31.0,14.131584
177,2.4403783110068393,20.775684196193847,60.952899651224904,32.692690386166305,14.3,10.6,10.3,397.5784743969752,620.8406213014653,31.0,14.131584
178,2.3600475310271984,21.069200554528653,61.212701346712436,32.12263995246897,14.3,10.6,10.3,403.2875627145498,618.4974914180091,30.9,13.858144
179,2.3001936575121955,20.66905810542486,60.90406190503428,32.05562955033869,14.3,10.6,10.3,402.87095219029095,616.5662970559156,31.2,14.433401
180,2.3180258819300996,21.296357993655715,63.96378387437431,33.53464620827099,14.3,10.6,10.3,397.54345793732045,612.2556532168667,30.9,14.384261
181,2.418515255866101,21.692560262673183,64.5070873708657,33.661007447745654,15.3,10.7,7.3,397.5614639224794,608.2445743573315,31.1,14.18146226
182,2.245461470102831,21.754395709026277,65.505189158309,32.957899581058776,15.3,10.7,7.3,396.60562396851594,602.1526279040244,31.8,15.62152999
183,2.144791179101913,21.43211222432225,66.60504835654882,32.485884074629254,15.3,10.7,7.3,397.82518964417403,602.461177502207,31.7,15.54615325
184,2.867624263718094,24.93024697736902,77.60669629017256,38.0541490131239,15.6,14.6,26.6,198.1244187248114,592.8490234576832,28.2,12.737148
185,0.7264048150262025,25.03502308929591,77.93285944066828,38.21408187619986,15.6,14.6,26.6,199.08680537539564,603.7461734032066,28.2,10.541938
186,1.7531923801549087,23.28867490056521,75.36110529621101,38.20389365710697,15.6,14.6,26.6,197.95373665480426,623.220640569395,28.5,13.192761
187,1.6700589739575178,24.085381765043575,73.29993215385417,40.08141537498043,18.7,14.0,26.3,199.49376337351913,652.3667867021554,29.3,13.69492
188,1.9998961092930236,22.466365383616434,71.76250584385227,40.30959430678926,18.7,14.0,26.3,198.4831956781466,649.3169186016311,30.1,13.877334
189,1.9998961092930236,20.75216871850813,69.9444184717677,38.77720637888941,18.7,14.0,26.3,198.4831956781466,649.3169186016311,30.1,13.877334
190,2.3838838969952585,19.77837738715846,69.1588295392031,38.90184161580174,18.7,14.0,26.3,203.5208131401776,670.6834673722263,29.3,14.316463
191,2.28442390505199,20.034660224766306,65.95945804012183,38.25753597311206,14.7,14.0,31.0,199.40132339040017,652.4787312257115,28.5,14.683222
192,2.2491304234118785,18.882234484922982,63.73407955645057,37.921385045897956,14.7,14.0,31.0,193.68674320684153,662.2381462980882,28.8,13.471931
193,2.215272348188689,18.191295282772998,60.90695856137607,36.512900703674745,14.7,14.0,31.0,190.61767005473027,665.4938754235079,29.8,14.240288
194,2.105044309883313,18.3216819563918,58.60339405909717,35.91569427479924,14.7,14.0,31.0,193.09233607941994,697.7832064242833,29.5,15.37325
195,1.968503937007874,19.68503937007874,56.20596767509325,35.0445503522586,13.9,10.7,26.3,197.1871114794861,714.3079154579361,29.6,14.159986
196,1.3769538720452865,20.220822602442816,54.721166840910826,34.24535278068185,13.9,10.7,26.3,200.8567712981615,723.2067725731189,30.0,14.434878
197,2.057456374304656,19.558535903883765,55.04330818664432,32.055678325586115,13.9,10.7,26.3,212.7308288247098,738.8046432472249,30.3,15.259117
198,1.7427323011643472,18.841714444472505,54.47932715378981,30.737756674159574,13.9,10.7,26.3,216.5534311620741,748.6676937842548,29.8,11.631584
199,1.759059154646429,18.5706387897673,54.480574961049406,29.7029702970297,11.5,8.9,28.8,221.0886063225612,758.0791074031262,30.2,14.953488
200,1.759059154646429,18.5706387897673,54.480574961049406,29.7029702970297,11.5,8.9,28.8,221.0886063225612,758.0791074031262,30.2,14.953488
201,1.9986009793144799,18.661936644348955,53.48755870890377,29.904067152992905,11.5,8.9,28.8,224.74268012391326,767.4377935445189,30.1,15.382804
202,1.9926769123471242,18.307719132189206,54.7238897053329,29.068174458863673,11.5,8.9,28.8,231.82305029018357,773.7564450643883,31.0,16.233234
203,1.4126744157228184,18.786091352945547,58.687947656695336,28.724379786363976,11.5,8.9,28.8,235.37138466876505,781.2337356563979,30.3,14.947487
204,1.6335420637081406,19.206494567235108,58.43625473355939,29.304754597430886,12.8,9.4,25.3,240.40294037571465,789.6690839789125,30.2,15.89431241
205,1.4289233801428924,20.374476472037447,57.8960335057896,30.22912047302291,12.8,9.4,25.3,239.76348854397637,792.5104705592511,30.4,17.21375106
206,1.5177107047563096,21.00315781743409,58.13811167413282,31.382340701574016,12.8,9.4,25.3,240.50818829404423,800.2252086852219,30.6,16.37472762
230,2.6010636752012553,25.458455636606704,78.11909674794386,35.89177250138045,21.9,31.7,2.3,120.33188991252288,645.7758144671453,28.4,13.694559
231,0.8867052359217373,25.46733726778498,78.14634997238132,35.90429397912609,21.9,31.7,2.3,120.35933366281944,651.2486554059948,27.9,15.434965
232,1.2041201218627593,24.76425359059916,77.6584941244741,36.16712606992601,21.9,31.7,2.3,119.81720586101842,663.4121572609895,28.3,13.626564
233,1.4621999594637634,24.52442308249124,77.46764339693662,37.61183658105799,23.9,31.3,5.2,120.8848481338854,682.4709731592205,28.4,14.179087
234,2.244295146530754,24.614849994208267,77.31958762886599,37.77655507934669,23.9,31.3,5.2,119.9611954129503,682.5697903393954,28.6,14.164652
235,2.244295146530754,24.571412023630256,75.82821730568747,38.58739719680297,23.9,31.3,5.2,119.9611954129503,682.5697903393954,28.6,14.164652
236,2.4453769353205037,23.42642164665027,75.21342786861526,39.039212849081174,23.9,31.3,5.2,119.3170308204312,700.3328027781797,28.9,15.490087
237,2.6698608786007045,22.989666916815793,74.69837787912024,39.09542227096923,19.8,30.1,5.8,116.85331640016165,700.1241124516539,28.9,16.206035
238,2.300337862123499,22.227014592768313,73.82646826252606,37.26547336640069,19.8,30.1,5.8,115.77888002300338,712.112716555244,29.0,13.914446
239,2.4777290825241325,20.609549998567786,72.48431726389963,36.96542636991206,19.8,30.1,5.8,117.36988341783392,718.1690584629487,29.4,15.471302
240,2.566515527418941,20.261214247012862,71.62004163458522,36.87227307725212,19.8,30.1,5.8,120.34106139675478,715.1880685544814,29.6,15.503993
241,2.970070824765821,21.233150559744118,68.59721270276445,37.08304774960018,21.2,28.9,6.4,123.12942654786384,728.1100068540096,29.4,17.225338
242,2.636727056221825,19.87468458506989,64.99673953105952,37.01341045051175,21.2,28.9,6.4,124.25221853647473,739.7578747412889,29.5,15.385427
243,2.2271714922048997,18.83228552902371,65.65927095373686,36.565081334047534,21.2,28.9,6.4,126.04662964111526,748.3860054692566,30.2,15.942402
244,2.3279154701831666,21.29972957149628,64.45677325824528,36.006021913072566,21.2,28.9,6.4,128.52323733586104,755.1088683821685,29.1,15.550428
245,2.195829305344566,19.941996961745613,63.8447728214335,34.29084380610413,21.2,28.9,6.4,134.69134097500347,750.5455047645353,29.9,17.383721
246,2.195829305344566,19.941996961745613,63.8447728214335,34.29084380610413,21.2,28.9,6.4,134.69134097500347,750.5455047645353,29.9,17.383721
247,2.129647440301173,19.853810007969003,64.54892693248331,34.67890412464621,20.0,26.8,8.5,139.12780632573987,757.3988073974335,29.9,16.123531
248,2.215475506687454,19.515330543475287,64.08468039714451,33.13640217718334,20.0,26.8,8.5,142.51524848882687,766.5134979896611,30.0,15.503182
249,2.4423522990858233,20.084595442761632,63.84227043252831,32.78755628325829,20.0,26.8,8.5,145.32678400873243,775.9994542229499,29.7,16.027394
250,2.329097372614718,19.953962870646563,64.52008335716911,32.29409280976314,20.0,26.8,8.5,146.7058935697844,782.4813740312453,30.5,14.92063425
251,2.3102848445314197,19.161774298760598,63.682322243966084,32.31680800173951,20.0,26.8,8.5,146.33616003479017,789.0166340508806,30.6,16.26484198
252,2.4284687080275136,20.160360335915563,62.97738403722748,32.08563404740263,20.2,24.4,6.7,146.9969745892632,796.8904747045815,30.8,16.90646047
253,1.9168570493720989,17.697628830456598,79.12392104402112,38.36609653199443,9.6,39.8,17.0,145.73036017801869,588.1305431770603,28.9,13.458648
254,1.468855934033968,17.603230331011005,78.70187696747492,38.16145318813741,9.6,39.8,17.0,147.96851464103753,600.8139189940352,29.1,13.571608
255,1.5827802649585592,17.604859192553505,79.30471948505358,38.495273086735786,9.6,39.8,17.0,146.9871463386064,613.6644791538697,29.5,14.096696
256,1.5260494076257,17.14176913742686,79.16132644100838,38.995251343463416,9.6,39.8,17.0,151.559156438536,633.4952215045085,29.6,14.532722
257,1.6790542931974233,16.164790826077724,78.60692291356976,39.75932611311673,11.6,35.9,19.9,153.05726622779076,631.1885042825794,29.7,14.287503
258,1.6790542931974233,15.842004671904862,78.09726056487577,40.14157287463722,11.6,35.9,19.9,153.05726622779076,631.1885042825794,29.7,14.287503
