Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2004/05;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Frauen
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;952663 ;489254 ;463409 ;147000 ;75638 ;71362 ;459191 ;232922 ;226269 ;296131 ;149395 ;146736 ;80198 ;44560 ;35638 ;171984 ;82397 ;89587 ;43949 ;22438 ;21511 ;50341 ;31299 ;19042 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;181615 ;93227 ;88388 ;30349 ;15463 ;14886 ;80268 ;40859 ;39409 ;63230 ;31997 ;31233 ;10869 ;6127 ;4742 ;29256 ;14202 ;15054 ;23105 ;11668 ;11437 ;7768 ;4908 ;2860 
Waadt;87056 ;44632 ;42424 ;14714 ;7476 ;7238 ;29972 ;15178 ;14794 ;37480 ;18898 ;18582 ;6702 ;3768 ;2934 ;16314 ;7841 ;8473 ;14464 ;7289 ;7175 ;4890 ;3080 ;1810 
Wallis;38707 ;19704 ;19003 ;6128 ;3145 ;2983 ;20696 ;10469 ;10227 ;11085 ;5593 ;5492 ;1494 ;819 ;675 ;3117 ;1486 ;1631 ;6474 ;3288 ;3186 ;798 ;497 ;301 
Genf;55852 ;28891 ;26961 ;9507 ;4842 ;4665 ;29600 ;15212 ;14388 ;14665 ;7506 ;7159 ;2673 ;1540 ;1133 ;9825 ;4875 ;4950 ;2167 ;1091 ;1076 ;2080 ;1331 ;749 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;212228 ;108812 ;103416 ;28438 ;14466 ;13972 ;110508 ;55951 ;54557 ;62488 ;31608 ;30880 ;19795 ;11198 ;8597 ;40165 ;19129 ;21036 ;2528 ;1281 ;1247 ;10794 ;6787 ;4007 
Bern;113479 ;58097 ;55382 ;15017 ;7624 ;7393 ;60129 ;30266 ;29863 ;32328 ;16381 ;15947 ;13469 ;7591 ;5878 ;18404 ;8535 ;9869 ;455 ;255 ;200 ;6005 ;3826 ;2179 
Freiburg;34853 ;17827 ;17026 ;3633 ;1894 ;1739 ;19778 ;10081 ;9697 ;10247 ;5136 ;5111 ;2304 ;1296 ;1008 ;7943 ;3840 ;4103 ;- ;- ;- ;1195 ;716 ;479 
Solothurn;32050 ;16438 ;15612 ;5007 ;2521 ;2486 ;15561 ;7872 ;7689 ;9058 ;4545 ;4513 ;1332 ;754 ;578 ;7596 ;3727 ;3869 ;130 ;64 ;66 ;2424 ;1500 ;924 
Neuenburg;21929 ;11269 ;10660 ;3084 ;1566 ;1518 ;9803 ;5008 ;4795 ;8190 ;4162 ;4028 ;1898 ;1098 ;800 ;4349 ;2102 ;2247 ;1943 ;962 ;981 ;852 ;533 ;319 
Jura;9917 ;5181 ;4736 ;1697 ;861 ;836 ;5237 ;2724 ;2513 ;2665 ;1384 ;1281 ;792 ;459 ;333 ;1873 ;925 ;948 ;- ;- ;- ;318 ;212 ;106 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;128691 ;66170 ;62521 ;20684 ;10776 ;9908 ;50163 ;25363 ;24800 ;48404 ;24327 ;24077 ;10452 ;5706 ;4746 ;32167 ;15637 ;16530 ;5785 ;2984 ;2801 ;9440 ;5704 ;3736 
Basel-Stadt;18389 ;9482 ;8907 ;3112 ;1604 ;1508 ;5725 ;2904 ;2821 ;8047 ;4044 ;4003 ;48 ;28 ;20 ;2697 ;1280 ;1417 ;5302 ;2736 ;2566 ;1505 ;930 ;575 
Basel-Landschaft;32529 ;16654 ;15875 ;5389 ;2844 ;2545 ;12908 ;6439 ;6469 ;11722 ;5844 ;5878 ;3426 ;1864 ;1562 ;7928 ;3791 ;4137 ;368 ;189 ;179 ;2510 ;1527 ;983 
Aargau;77773 ;40034 ;37739 ;12183 ;6328 ;5855 ;31530 ;16020 ;15510 ;28635 ;14439 ;14196 ;6978 ;3814 ;3164 ;21542 ;10566 ;10976 ;115 ;59 ;56 ;5425 ;3247 ;2178 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;146542 ;75619 ;70923 ;24705 ;12827 ;11878 ;74840 ;37992 ;36848 ;39078 ;19741 ;19337 ;15524 ;8593 ;6931 ;23266 ;11000 ;12266 ;288 ;148 ;140 ;7919 ;5059 ;2860 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;150897 ;77501 ;73396 ;23382 ;12055 ;11327 ;75220 ;38213 ;37007 ;43240 ;21705 ;21535 ;14581 ;7943 ;6638 ;25891 ;12344 ;13547 ;2768 ;1418 ;1350 ;9055 ;5528 ;3527 
Glarus;5239 ;2741 ;2498 ;799 ;444 ;355 ;2693 ;1371 ;1322 ;1493 ;765 ;728 ;704 ;382 ;322 ;789 ;383 ;406 ;- ;- ;- ;254 ;161 ;93 
Schaffhausen;9651 ;4984 ;4667 ;1432 ;777 ;655 ;4710 ;2390 ;2320 ;2796 ;1384 ;1412 ;1012 ;521 ;491 ;1627 ;775 ;852 ;157 ;88 ;69 ;713 ;433 ;280 
Appenzell A. Rh.;7776 ;4154 ;3622 ;1226 ;645 ;581 ;4171 ;2226 ;1945 ;2120 ;1107 ;1013 ;620 ;332 ;288 ;1500 ;775 ;725 ;- ;- ;- ;259 ;176 ;83 
Appenzell I. Rh.;2537 ;1321 ;1216 ;377 ;184 ;193 ;1326 ;682 ;644 ;776 ;415 ;361 ;204 ;119 ;85 ;521 ;274 ;247 ;51 ;22 ;29 ;58 ;40 ;18 
St. Gallen;67667 ;34585 ;33082 ;10455 ;5298 ;5157 ;33273 ;16858 ;16415 ;19413 ;9675 ;9738 ;6833 ;3700 ;3133 ;12512 ;5938 ;6574 ;68 ;37 ;31 ;4526 ;2754 ;1772 
Graubünden;23703 ;12079 ;11624 ;3853 ;1999 ;1854 ;12134 ;6122 ;6012 ;6860 ;3404 ;3456 ;2162 ;1234 ;928 ;4698 ;2170 ;2528 ;- ;- ;- ;856 ;554 ;302 
Thurgau;34324 ;17637 ;16687 ;5240 ;2708 ;2532 ;16913 ;8564 ;8349 ;9782 ;4955 ;4827 ;3046 ;1655 ;1391 ;4244 ;2029 ;2215 ;2492 ;1271 ;1221 ;2389 ;1410 ;979 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;95340 ;48612 ;46728 ;11240 ;5854 ;5386 ;52163 ;26325 ;25838 ;27225 ;13538 ;13687 ;7434 ;4085 ;3349 ;17927 ;8462 ;9465 ;1864 ;991 ;873 ;4712 ;2895 ;1817 
