Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2013/14;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
  s;;;;;;;;;;;;;;;;;;;;;;;;
Total;914521 ;470643 ;443878 ;162463 ;83736 ;78727 ;452293 ;229909 ;222384 ;265794 ;135128 ;130666 ;71365 ;39764 ;31601 ;164243 ;79535 ;84708 ;30186 ;15829 ;14357 ;33971 ;21870 ;12101 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;186482 ;95684 ;90798 ;32277 ;16569 ;15708 ;95786 ;48641 ;47145 ;51918 ;26288 ;25630 ;10298 ;5868 ;4430 ;27286 ;12989 ;14297 ;14334 ;7431 ;6903 ;6501 ;4186 ;2315 
Waadt;93672 ;48061 ;45611 ;16446 ;8382 ;8064 ;47129 ;23984 ;23145 ;26074 ;13128 ;12946 ;5958 ;3336 ;2622 ;17365 ;8386 ;8979 ;2751 ;1406 ;1345 ;4023 ;2567 ;1456 
Wallis;36457 ;18835 ;17622 ;6269 ;3309 ;2960 ;19121 ;9836 ;9285 ;10620 ;5403 ;5217 ;- ;- ;- ;917 ;379 ;538 ;9703 ;5024 ;4679 ;447 ;287 ;160 
Genf;56353 ;28788 ;27565 ;9562 ;4878 ;4684 ;29536 ;14821 ;14715 ;15224 ;7757 ;7467 ;4340 ;2532 ;1808 ;9004 ;4224 ;4780 ;1880 ;1001 ;879 ;2031 ;1332 ;699 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;202483 ;103847 ;98636 ;36168 ;18490 ;17678 ;102293 ;51943 ;50350 ;55643 ;28067 ;27576 ;17577 ;9657 ;7920 ;37336 ;18004 ;19332 ;730 ;406 ;324 ;8379 ;5347 ;3032 
Bern;104886 ;53813 ;51073 ;18887 ;9607 ;9280 ;52305 ;26434 ;25871 ;28692 ;14566 ;14126 ;10554 ;5773 ;4781 ;17563 ;8467 ;9096 ;575 ;326 ;249 ;5002 ;3206 ;1796 
Freiburg;39585 ;20229 ;19356 ;6971 ;3578 ;3393 ;20388 ;10339 ;10049 ;11037 ;5537 ;5500 ;2452 ;1377 ;1075 ;8585 ;4160 ;4425 ;- ;- ;- ;1189 ;775 ;414 
Solothurn;27870 ;14330 ;13540 ;5117 ;2597 ;2520 ;14006 ;7217 ;6789 ;7650 ;3831 ;3819 ;2412 ;1276 ;1136 ;5153 ;2513 ;2640 ;85 ;42 ;43 ;1097 ;685 ;412 
Neuenburg;21205 ;10923 ;10282 ;3665 ;1931 ;1734 ;10970 ;5574 ;5396 ;5681 ;2874 ;2807 ;1541 ;871 ;670 ;4070 ;1965 ;2105 ;70 ;38 ;32 ;889 ;544 ;345 
Jura;8937 ;4552 ;4385 ;1528 ;777 ;751 ;4624 ;2379 ;2245 ;2583 ;1259 ;1324 ;618 ;360 ;258 ;1965 ;899 ;1066 ;- ;- ;- ;202 ;137 ;65 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;121570 ;62998 ;58572 ;21942 ;11315 ;10627 ;50031 ;25481 ;24550 ;43662 ;22371 ;21291 ;9274 ;5125 ;4149 ;31711 ;15809 ;15902 ;2677 ;1437 ;1240 ;5935 ;3831 ;2104 
Basel-Stadt;17367 ;9092 ;8275 ;3349 ;1734 ;1615 ;7532 ;3862 ;3670 ;6047 ;3187 ;2860 ;665 ;361 ;304 ;3594 ;1840 ;1754 ;1788 ;986 ;802 ;439 ;309 ;130 
Basel-Landschaft;31150 ;16111 ;15039 ;5372 ;2786 ;2586 ;12488 ;6324 ;6164 ;11289 ;5720 ;5569 ;2813 ;1584 ;1229 ;7711 ;3749 ;3962 ;765 ;387 ;378 ;2001 ;1281 ;720 
Aargau;73053 ;37795 ;35258 ;13221 ;6795 ;6426 ;30011 ;15295 ;14716 ;26326 ;13464 ;12862 ;5796 ;3180 ;2616 ;20406 ;10220 ;10186 ;124 ;64 ;60 ;3495 ;2241 ;1254 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;152208 ;78418 ;73790 ;28687 ;15008 ;13679 ;79308 ;40111 ;39197 ;39830 ;20409 ;19421 ;13681 ;7694 ;5987 ;24945 ;12061 ;12884 ;1204 ;654 ;550 ;4383 ;2890 ;1493 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;127984 ;65810 ;62174 ;21983 ;11331 ;10652 ;63863 ;32372 ;31491 ;36253 ;18381 ;17872 ;12252 ;6799 ;5453 ;22352 ;10705 ;11647 ;1649 ;877 ;772 ;5885 ;3726 ;2159 
Glarus;4317 ;2262 ;2055 ;746 ;382 ;364 ;2157 ;1102 ;1055 ;1217 ;660 ;557 ;527 ;316 ;211 ;690 ;344 ;346 ;- ;- ;- ;197 ;118 ;79 
Schaffhausen;8224 ;4325 ;3899 ;1441 ;766 ;675 ;4065 ;2062 ;2003 ;2226 ;1194 ;1032 ;820 ;474 ;346 ;1330 ;675 ;655 ;76 ;45 ;31 ;492 ;303 ;189 
Appenzell A. Rh.;5969 ;3118 ;2851 ;1007 ;532 ;475 ;3016 ;1542 ;1474 ;1738 ;903 ;835 ;609 ;357 ;252 ;1118 ;539 ;579 ;11 ;7 ;4 ;208 ;141 ;67 
Appenzell I. Rh.;1962 ;1003 ;959 ;329 ;166 ;163 ;928 ;465 ;463 ;631 ;318 ;313 ;162 ;90 ;72 ;469 ;228 ;241 ;- ;- ;- ;74 ;54 ;20 
St. Gallen;57675 ;29358 ;28317 ;9912 ;5075 ;4837 ;28544 ;14404 ;14140 ;16108 ;7932 ;8176 ;5460 ;2886 ;2574 ;10231 ;4850 ;5381 ;417 ;196 ;221 ;3111 ;1947 ;1164 
Graubünden;19746 ;10175 ;9571 ;3301 ;1680 ;1621 ;10062 ;5139 ;4923 ;5922 ;3036 ;2886 ;1904 ;1099 ;805 ;3974 ;1915 ;2059 ;44 ;22 ;22 ;461 ;320 ;141 
Thurgau;30091 ;15569 ;14522 ;5247 ;2730 ;2517 ;15091 ;7658 ;7433 ;8411 ;4338 ;4073 ;2770 ;1577 ;1193 ;4540 ;2154 ;2386 ;1101 ;607 ;494 ;1342 ;843 ;499 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;85635 ;44300 ;41335 ;12772 ;6674 ;6098 ;45322 ;23292 ;22030 ;25266 ;12816 ;12450 ;6299 ;3519 ;2780 ;17051 ;8240 ;8811 ;1916 ;1057 ;859 ;2275 ;1518 ;757 
