Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2014/15;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Primarstufe 1-2 (1);;; Primarstufe 3-8 (2);;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Total;920653 ;474098 ;446555 ;167139 ;86086 ;81053 ;466833 ;237581 ;229252 ;254960 ;129869 ;125091 ;69097 ;38849 ;30248 ;155732 ;75176 ;80556 ;30131 ;15844 ;14287 ;31721 ;20562 ;11159 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;188130 ;96634 ;91496 ;33236 ;17019 ;16217 ;96727 ;49291 ;47436 ;51601 ;26122 ;25479 ;10120 ;5776 ;4344 ;26936 ;12770 ;14166 ;14545 ;7576 ;6969 ;6566 ;4202 ;2364 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Waadt;94496 ;48542 ;45954 ;16899 ;8662 ;8237 ;48272 ;24663 ;23609 ;25629 ;12860 ;12769 ;5812 ;3291 ;2521 ;16765 ;7985 ;8780 ;3052 ;1584 ;1468 ;3696 ;2357 ;1339 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wallis;36692 ;18983 ;17709 ;6419 ;3295 ;3124 ;19357 ;10030 ;9327 ;10365 ;5304 ;5061 ;- ;- ;- ;970 ;420 ;550 ;9395 ;4884 ;4511 ;551 ;354 ;197 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Genf;56942 ;29109 ;27833 ;9918 ;5062 ;4856 ;29098 ;14598 ;14500 ;15607 ;7958 ;7649 ;4308 ;2485 ;1823 ;9201 ;4365 ;4836 ;2098 ;1108 ;990 ;2319 ;1491 ;828 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;204096 ;104791 ;99305 ;37187 ;19078 ;18109 ;104882 ;53320 ;51562 ;54913 ;27800 ;27113 ;17312 ;9572 ;7740 ;36905 ;17835 ;19070 ;696 ;393 ;303 ;7114 ;4593 ;2521 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bern;106321 ;54534 ;51787 ;19907 ;10146 ;9761 ;54474 ;27635 ;26839 ;28531 ;14545 ;13986 ;10522 ;5811 ;4711 ;17429 ;8406 ;9023 ;580 ;328 ;252 ;3409 ;2208 ;1201 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Freiburg;39855 ;20375 ;19480 ;7068 ;3611 ;3457 ;20633 ;10430 ;10203 ;10713 ;5394 ;5319 ;2164 ;1252 ;912 ;8549 ;4142 ;4407 ;- ;- ;- ;1441 ;940 ;501 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Solothurn;27928 ;14454 ;13474 ;5105 ;2674 ;2431 ;14260 ;7317 ;6943 ;7505 ;3784 ;3721 ;2512 ;1327 ;1185 ;4922 ;2422 ;2500 ;71 ;35 ;36 ;1058 ;679 ;379 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Neuenburg;21185 ;10917 ;10268 ;3663 ;1898 ;1765 ;10892 ;5576 ;5316 ;5681 ;2853 ;2828 ;1532 ;855 ;677 ;4104 ;1968 ;2136 ;45 ;30 ;15 ;949 ;590 ;359 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Jura;8807 ;4511 ;4296 ;1444 ;749 ;695 ;4623 ;2362 ;2261 ;2483 ;1224 ;1259 ;582 ;327 ;255 ;1901 ;897 ;1004 ;- ;- ;- ;257 ;176 ;81 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;122761 ;63536 ;59225 ;22692 ;11627 ;11065 ;58370 ;29717 ;28653 ;35604 ;18295 ;17309 ;7756 ;4320 ;3436 ;25970 ;12949 ;13021 ;1878 ;1026 ;852 ;6095 ;3897 ;2198 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Stadt;17553 ;9133 ;8420 ;3477 ;1725 ;1752 ;9077 ;4669 ;4408 ;4506 ;2394 ;2112 ;607 ;351 ;256 ;2954 ;1520 ;1434 ;945 ;523 ;422 ;493 ;345 ;148 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Basel-Landschaft;31221 ;16149 ;15072 ;5432 ;2847 ;2585 ;12835 ;6454 ;6381 ;11134 ;5691 ;5443 ;2761 ;1541 ;1220 ;7538 ;3697 ;3841 ;835 ;453 ;382 ;1820 ;1157 ;663 ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
