Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2009/10;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;910476 ;468451 ;442025 ;146980 ;75453 ;71527 ;436111 ;222216 ;213895 ;288604 ;146126 ;142478 ;75281 ;41613 ;33668 ;172121 ;83367 ;88754 ;41202 ;21146 ;20056 ;38781 ;24656 ;14125 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;180128 ;92403 ;87725 ;30002 ;15244 ;14758 ;79223 ;40300 ;38923 ;64050 ;32485 ;31565 ;10816 ;6047 ;4769 ;29864 ;14568 ;15296 ;23370 ;11870 ;11500 ;6853 ;4374 ;2479 
Waadt;86485 ;44388 ;42097 ;14508 ;7430 ;7078 ;29886 ;15152 ;14734 ;37954 ;19183 ;18771 ;6696 ;3761 ;2935 ;16348 ;7873 ;8475 ;14910 ;7549 ;7361 ;4137 ;2623 ;1514 
Wallis;36471 ;18731 ;17740 ;5843 ;2999 ;2844 ;19394 ;9942 ;9452 ;10660 ;5401 ;5259 ;1261 ;682 ;579 ;2876 ;1373 ;1503 ;6523 ;3346 ;3177 ;574 ;389 ;185 
Genf;57172 ;29284 ;27888 ;9651 ;4815 ;4836 ;29943 ;15206 ;14737 ;15436 ;7901 ;7535 ;2859 ;1604 ;1255 ;10640 ;5322 ;5318 ;1937 ;975 ;962 ;2142 ;1362 ;780 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;202363 ;103915 ;98448 ;30065 ;15361 ;14704 ;102476 ;52097 ;50379 ;60349 ;30412 ;29937 ;17910 ;9911 ;7999 ;39993 ;19228 ;20765 ;2446 ;1273 ;1173 ;9473 ;6045 ;3428 
Bern;106339 ;54622 ;51717 ;15992 ;8168 ;7824 ;54212 ;27549 ;26663 ;30744 ;15451 ;15293 ;11713 ;6480 ;5233 ;18484 ;8672 ;9812 ;547 ;299 ;248 ;5391 ;3454 ;1937 
Freiburg;36322 ;18498 ;17824 ;4725 ;2381 ;2344 ;19648 ;9980 ;9668 ;10774 ;5408 ;5366 ;2352 ;1307 ;1045 ;8422 ;4101 ;4321 ;- ;- ;- ;1175 ;729 ;446 
Solothurn;28925 ;14914 ;14011 ;4522 ;2348 ;2174 ;14186 ;7211 ;6975 ;8458 ;4264 ;4194 ;1209 ;648 ;561 ;7107 ;3532 ;3575 ;142 ;84 ;58 ;1759 ;1091 ;668 
Neuenburg;21431 ;11068 ;10363 ;3405 ;1751 ;1654 ;9407 ;4818 ;4589 ;7787 ;3949 ;3838 ;1891 ;1044 ;847 ;4139 ;2015 ;2124 ;1757 ;890 ;867 ;832 ;550 ;282 
Jura;9346 ;4813 ;4533 ;1421 ;713 ;708 ;5023 ;2539 ;2484 ;2586 ;1340 ;1246 ;745 ;432 ;313 ;1841 ;908 ;933 ;- ;- ;- ;316 ;221 ;95 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;120742 ;62373 ;58369 ;20191 ;10505 ;9686 ;47467 ;24306 ;23161 ;46268 ;23340 ;22928 ;9860 ;5341 ;4519 ;32976 ;16179 ;16797 ;3432 ;1820 ;1612 ;6816 ;4222 ;2594 
Basel-Stadt;17004 ;8916 ;8088 ;3129 ;1630 ;1499 ;5252 ;2665 ;2587 ;7704 ;4005 ;3699 ;661 ;379 ;282 ;4041 ;2015 ;2026 ;3002 ;1611 ;1391 ;919 ;616 ;303 
Basel-Landschaft;30439 ;15597 ;14842 ;4861 ;2496 ;2365 ;12287 ;6259 ;6028 ;11104 ;5457 ;5647 ;2920 ;1550 ;1370 ;7859 ;3755 ;4104 ;325 ;152 ;173 ;2187 ;1385 ;802 
Aargau;73299 ;37860 ;35439 ;12201 ;6379 ;5822 ;29928 ;15382 ;14546 ;27460 ;13878 ;13582 ;6279 ;3412 ;2867 ;21076 ;10409 ;10667 ;105 ;57 ;48 ;3710 ;2221 ;1489 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;145967 ;75040 ;70927 ;25986 ;13274 ;12712 ;76104 ;38844 ;37260 ;39224 ;19857 ;19367 ;14821 ;8199 ;6622 ;24155 ;11549 ;12606 ;248 ;109 ;139 ;4653 ;3065 ;1588 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;135085 ;69693 ;65392 ;21506 ;11065 ;10441 ;68110 ;34543 ;33567 ;38788 ;19844 ;18944 ;12942 ;7228 ;5714 ;23602 ;11442 ;12160 ;2244 ;1174 ;1070 ;6681 ;4241 ;2440 
Glarus;4570 ;2358 ;2212 ;705 ;347 ;358 ;2255 ;1166 ;1089 ;1382 ;703 ;679 ;604 ;347 ;257 ;778 ;356 ;422 ;- ;- ;- ;228 ;142 ;86 
Schaffhausen;8502 ;4450 ;4052 ;1288 ;674 ;614 ;4260 ;2200 ;2060 ;2515 ;1303 ;1212 ;925 ;533 ;392 ;1499 ;729 ;770 ;91 ;41 ;50 ;439 ;273 ;166 
Appenzell A. Rh.;6640 ;3551 ;3089 ;933 ;483 ;450 ;3515 ;1819 ;1696 ;1984 ;1101 ;883 ;550 ;324 ;226 ;1156 ;595 ;561 ;278 ;182 ;96 ;208 ;148 ;60 
Appenzell I. Rh.;2269 ;1166 ;1103 ;308 ;153 ;155 ;1143 ;586 ;557 ;740 ;373 ;367 ;185 ;109 ;76 ;469 ;229 ;240 ;86 ;35 ;51 ;78 ;54 ;24 
St. Gallen;60650 ;31007 ;29643 ;9626 ;4911 ;4715 ;30287 ;15131 ;15156 ;17054 ;8661 ;8393 ;5953 ;3229 ;2724 ;10883 ;5353 ;5530 ;218 ;79 ;139 ;3683 ;2304 ;1379 
Graubünden;21204 ;10960 ;10244 ;3465 ;1813 ;1652 ;11118 ;5680 ;5438 ;6067 ;3107 ;2960 ;1878 ;1093 ;785 ;4189 ;2014 ;2175 ;- ;- ;- ;554 ;360 ;194 
Thurgau;31250 ;16201 ;15049 ;5181 ;2684 ;2497 ;15532 ;7961 ;7571 ;9046 ;4596 ;4450 ;2847 ;1593 ;1254 ;4628 ;2166 ;2462 ;1571 ;837 ;734 ;1491 ;960 ;531 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;88463 ;45563 ;42900 ;10971 ;5749 ;5222 ;47115 ;24107 ;23008 ;26779 ;13446 ;13333 ;6818 ;3700 ;3118 ;18114 ;8726 ;9388 ;1847 ;1020 ;827 ;3598 ;2261 ;1337 
