Obligatorische Schule: Lernende nach Grossregion, Schulkanton, Bildungstyp und Geschlecht 2001/02;;;;;;;;;;;;;;;;;;;;;;;;T 15.02.01.04
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Im Ganzen;;; Vorschule/Eingangsstufe;;; Primarstufe;;; Sekundarstufe I ;;;;;;;;;;;; Separativer Unterricht;;
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;; Im Ganzen;;; Grundansprüche;;; Erweiterte Ansprüche ;;; Ohne Niveauunterscheidung;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau; Total; Mann; Frau
;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;
Total;950776 ;487686 ;463090 ;148548 ;76449 ;72099 ;470904 ;238681 ;232223 ;282210 ;141998 ;140212 ;75821 ;42068 ;33753 ;160070 ;76443 ;83627 ;46319 ;23487 ;22832 ;49114 ;30558 ;18556 
;;;;;;;;;;;;;;;;;;;;;;;;
Genferseeregion;177603 ;90988 ;86615 ;30571 ;15646 ;14925 ;80303 ;40846 ;39457 ;59044 ;29637 ;29407 ;8847 ;4890 ;3957 ;24135 ;11633 ;12502 ;26062 ;13114 ;12948 ;7685 ;4859 ;2826 
Waadt;85483 ;43837 ;41646 ;14677 ;7539 ;7138 ;30112 ;15170 ;14942 ;35569 ;17848 ;17721 ;5854 ;3262 ;2592 ;15143 ;7213 ;7930 ;14572 ;7373 ;7199 ;5125 ;3280 ;1845 
Wallis;38650 ;19650 ;19000 ;6379 ;3214 ;3165 ;21074 ;10761 ;10313 ;10423 ;5220 ;5203 ;1449 ;767 ;682 ;2846 ;1344 ;1502 ;6128 ;3109 ;3019 ;774 ;455 ;319 
Genf;53470 ;27501 ;25969 ;9515 ;4893 ;4622 ;29117 ;14915 ;14202 ;13052 ;6569 ;6483 ;1544 ;861 ;683 ;6146 ;3076 ;3070 ;5362 ;2632 ;2730 ;1786 ;1124 ;662 
;;;;;;;;;;;;;;;;;;;;;;;;
Espace Mittelland;211898 ;108863 ;103035 ;27683 ;14228 ;13455 ;114176 ;58063 ;56113 ;59511 ;29981 ;29530 ;19127 ;10682 ;8445 ;37741 ;17953 ;19788 ;2643 ;1346 ;1297 ;10528 ;6591 ;3937 
Bern;114712 ;59034 ;55678 ;14657 ;7492 ;7165 ;62950 ;31959 ;30991 ;31334 ;15939 ;15395 ;13267 ;7395 ;5872 ;17499 ;8215 ;9284 ;568 ;329 ;239 ;5771 ;3644 ;2127 
Freiburg;33550 ;17153 ;16397 ;3717 ;1917 ;1800 ;19410 ;9881 ;9529 ;9251 ;4631 ;4620 ;1958 ;1124 ;834 ;7293 ;3507 ;3786 ;- ;- ;- ;1172 ;724 ;448 
Solothurn;32670 ;16767 ;15903 ;5002 ;2598 ;2404 ;16385 ;8267 ;8118 ;8804 ;4373 ;4431 ;1334 ;720 ;614 ;7209 ;3522 ;3687 ;261 ;131 ;130 ;2479 ;1529 ;950 
Neuenburg;21114 ;10750 ;10364 ;2600 ;1323 ;1277 ;10078 ;5165 ;4913 ;7629 ;3776 ;3853 ;1808 ;1018 ;790 ;4007 ;1872 ;2135 ;1814 ;886 ;928 ;807 ;486 ;321 
Jura;9852 ;5159 ;4693 ;1707 ;898 ;809 ;5353 ;2791 ;2562 ;2493 ;1262 ;1231 ;760 ;425 ;335 ;1733 ;837 ;896 ;- ;- ;- ;299 ;208 ;91 
;;;;;;;;;;;;;;;;;;;;;;;;
Nordwestschweiz;130047 ;66674 ;63373 ;21300 ;10972 ;10328 ;52539 ;26558 ;25981 ;47153 ;23624 ;23529 ;10266 ;5660 ;4606 ;30994 ;15042 ;15952 ;5893 ;2922 ;2971 ;9055 ;5520 ;3535 
Basel-Stadt;18566 ;9472 ;9094 ;3069 ;1592 ;1477 ;6106 ;3047 ;3059 ;7878 ;3905 ;3973 ;80 ;44 ;36 ;2393 ;1180 ;1213 ;5405 ;2681 ;2724 ;1513 ;928 ;585 
Basel-Landschaft;32978 ;16827 ;16151 ;5463 ;2766 ;2697 ;13505 ;6797 ;6708 ;11709 ;5849 ;5860 ;3359 ;1910 ;1449 ;7965 ;3745 ;4220 ;385 ;194 ;191 ;2301 ;1415 ;886 
Aargau;78503 ;40375 ;38128 ;12768 ;6614 ;6154 ;32928 ;16714 ;16214 ;27566 ;13870 ;13696 ;6827 ;3706 ;3121 ;20636 ;10117 ;10519 ;103 ;47 ;56 ;5241 ;3177 ;2064 
;;;;;;;;;;;;;;;;;;;;;;;;
Zürich;144276 ;74127 ;70149 ;24555 ;12753 ;11802 ;74315 ;37544 ;36771 ;37402 ;18754 ;18648 ;14662 ;8126 ;6536 ;22436 ;10496 ;11940 ;304 ;132 ;172 ;8004 ;5076 ;2928 
;;;;;;;;;;;;;;;;;;;;;;;;
Ostschweiz;154522 ;79314 ;75208 ;24328 ;12568 ;11760 ;80842 ;40967 ;39875 ;40872 ;20550 ;20322 ;14275 ;7831 ;6444 ;25112 ;11961 ;13151 ;1485 ;758 ;727 ;8480 ;5229 ;3251 
Glarus;5490 ;2842 ;2648 ;890 ;451 ;439 ;2880 ;1504 ;1376 ;1460 ;732 ;728 ;668 ;359 ;309 ;792 ;373 ;419 ;- ;- ;- ;260 ;155 ;105 
Schaffhausen;10112 ;5140 ;4972 ;1605 ;830 ;775 ;5000 ;2491 ;2509 ;2736 ;1355 ;1381 ;1158 ;607 ;551 ;1499 ;706 ;793 ;79 ;42 ;37 ;771 ;464 ;307 
Appenzell A. Rh.;7887 ;4167 ;3720 ;1313 ;719 ;594 ;4380 ;2315 ;2065 ;1956 ;982 ;974 ;438 ;240 ;198 ;1397 ;681 ;716 ;121 ;61 ;60 ;238 ;151 ;87 
Appenzell I. Rh.;2586 ;1367 ;1219 ;423 ;212 ;211 ;1362 ;714 ;648 ;736 ;398 ;338 ;247 ;151 ;96 ;489 ;247 ;242 ;- ;- ;- ;65 ;43 ;22 
St. Gallen;69094 ;35370 ;33724 ;11007 ;5621 ;5386 ;35661 ;18104 ;17557 ;17977 ;8943 ;9034 ;6294 ;3424 ;2870 ;11592 ;5484 ;6108 ;91 ;35 ;56 ;4449 ;2702 ;1747 
Graubünden;24691 ;12654 ;12037 ;3990 ;2064 ;1926 ;12980 ;6527 ;6453 ;6853 ;3503 ;3350 ;2151 ;1238 ;913 ;4702 ;2265 ;2437 ;- ;- ;- ;868 ;560 ;308 
Thurgau;34662 ;17774 ;16888 ;5100 ;2671 ;2429 ;18579 ;9312 ;9267 ;9154 ;4637 ;4517 ;3319 ;1812 ;1507 ;4641 ;2205 ;2436 ;1194 ;620 ;574 ;1829 ;1154 ;675 
;;;;;;;;;;;;;;;;;;;;;;;;
Zentralschweiz;95705 ;48811 ;46894 ;11924 ;6166 ;5758 ;52914 ;26546 ;26368 ;26074 ;13181 ;12893 ;6968 ;3890 ;3078 ;16618 ;7977 ;8641 ;2488 ;1314 ;1174 ;4793 ;2918 ;1875 
